"Address","पता"
"Advanced Settings","एडवांस सेटिंग"
"Authorization","प्राधिकरण"
"City","शहर"
"Close","बंद करें"
"Company","कंपनी"
"Configure","कॉन्फ़िगर"
"Continue","जारी रहना"
"Country","देश"
"Custom","उपयोगकर्ता"
"Discount","छूट"
"Dynamic","गतिशील"
"Edit","संपादित करें"
"Email Address","ईमेल पता"
"Enabled","सक्षम"
"Event","प्रतिस्पर्धा"
"Fax","फैक्स"
"Fetch","लाना"
"General: Withdrawal from PayPal Account","जनरल: पेपैल खाते से निकासी"
"Learn More","और अधिक जानें"
"Login","लॉग इन"
"Mobile Payment (made via a mobile phone)","मोबाइल भुगतान (एक मोबाइल फोन के माध्यम से बनाया)"
"N/A","एन / ए"
"Never","कभी नहीँ"
"No","नहीं"
"Order","ऑर्डर"
"Order ID","आदेश कामतत्व"
"Password","पासवर्ड"
"Payment Method","भुगतान का तरीका"
"Payment transactions disallow storing objects.","भुगतान लेन-देन भंडारण वस्तुओं को अस्वीकार कर देता है।"
"Place Order","स्थान क्रम"
"Position","पद"
"Price","मूल्य"
"Product","उत्पाद"
"Product Name","उत्पाद का नाम"
"Qty","मात्रा"
"Sales","बिक्री"
"Shipping","शिपिंग"
"Shipping Address","शिपिंग पता"
"Shipping Information","शिपिंग सूचना"
"Shipping Method","शिपिंग का तरीका"
"Sort Order","सॉर्ट क्रम"
"State/Province","राज्य/प्रांत"
"Static","स्थिर"
"Street Address","सड़क का पता"
"Subtotal","उप-योग"
"Title","शीर्षक"
"Transaction ID","लेनदेन आईडी"
"View","देखें"
"Void","शून्य"
"Yes","हाँ"
"Zip/Postal Code","ज़िप/पोस्ट कोड"
