"* Required Fields","* आवश्यक फील्ड्स"
"Address","पता"
"Address Information","पते की जानकारी"
"Back","पीछे	"
"City","शहर"
"Close","बंद करें"
"Company","कंपनी"
"Continue","जारी रहना"
"Country","देश"
"Email Address","ईमेल पता"
"Fax","फैक्स"
"Forgot Your Password?","अपना पासवर्ड भूल गए?"
"General Options","आम विकल्प"
"Login","लॉग इन"
"Password","पासवर्ड"
"Save in address book","पता पुस्तिका में सहेजें"
"State/Province","राज्य/प्रांत"
"Street Address","सड़क का पता"
"Submit","जमा करें"
"What's this?","यह क्या है?"
"Zip/Postal Code","ज़िप/पोस्ट कोड"
