"-- Please Select --","-- कृपया चुने --"
"Actions","कार्रवाई"
"All","सभी"
"Apply","लागू करें"
"CMS","सीएमएस (CMS)"
"Categories","श्रेणियाँ"
"Close","बंद करें"
"Continue","जारी रहना"
"Default Template","पूर्व उपस्थित नमूना"
"Delete","हटाएँ"
"Images","इमेजिस"
"Next page","अगला पृष्ठ"
"Page","पृष्ठ"
"Previous page","पिछला पृष्ठ"
"Products","उत्पादों"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Select All","सभी का चयन करें"
"Select Visible","दर्शनीय का चयन करें"
"Settings","समायोजन"
"Sort Order","सॉर्ट क्रम"
"Template","खाका"
"Thumbnail","थंबनेल"
"Type","प्रकार"
"Unselect All","सभी का चयन रद्द करें"
"Unselect Visible","अचयनित दृश्यमान"
"View","देखें"
"per page","प्रति पृष्ठ"
