"Add","जोड़ना"
"Add New Row","नई पंक्ति जोड़ें"
"Back","पीछे	"
"Canceled","रद्द"
"Date","दिनांक"
"Delete","हटाएँ"
"Edit","संपादित करें"
"Excl. Tax","Excl। कर"
"From:","से:"
"Gift Message","उपहार संदेश"
"In stock","स्टॉक में"
"Incl. Tax","Incl। कर"
"Invoiced","चालान की गई"
"List","सूची"
"Message:","संदेश:"
"Order #","ऑर्डर #"
"Ordered","आदेश दिया"
"Out of stock","स्टॉक ख़त्म"
"Pending","अपूर्ण"
"Price","मूल्य"
"Qty","मात्रा"
"Refunded","वापस"
"Remove","निकालें"
"Remove Item","वस्तु निकालो"
"SKU","एसकेयु"
"Shipped","भेज दिया"
"Sort Order","सॉर्ट क्रम"
"Status","स्थिति"
"Subtotal","उप-योग"
"Title","शीर्षक"
"To:","सेवा मेरे:"
"Unlimited","असीमित"
"Update","अपडेट करें"
"Use Default Value","डिफ़ॉल्ट मान का उपयोग करें"
"View Order","आदेश देखें"
"What's this?","यह क्या है?"
