"* Required Fields","* आवश्यक फील्ड्स"
"-- Please Select --","-- कृपया चुने --"
"A group with the same name already exists.","समान नाम वाला एक समूह पहले से मौजूद है।"
"A product type is not defined for the indexer.","इंडेक्सर के लिए एक उत्पाद प्रकार परिभाषित नहीं है।"
"ALL GROUPS","सभी सकल"
"Action","कार्य"
"Add","जोड़ना"
"Add Attribute","विशेषता जोड़ें"
"Add Group","समूह जोड़ें"
"Add New","नया जोड़ें"
"Add New Attribute","नई विशेषता जोड़ें"
"Add New Attribute Set","नया विशेषता सेट जोड़ें"
"Add New Group","नया समूह जोड़ें"
"Add New Images","नई छवियाँ जोड़ें"
"Add New Option","नया विकल्प जोड़ें"
"Add New Row","नई पंक्ति जोड़ें"
"Add New Search Term","नई खोज शब्द जोड़ें"
"Add Product","उत्पाद जोड़ें"
"Add Product To Websites","वेबसाइट में उत्पाद जोड़ें"
"Add Root Category","रूट श्रेणी जोड़ें"
"Add Subcategory","उपश्रेणी जोड़ें"
"Add to Cart","कार्ट में डालें"
"Add to Compare","तुलना में जोड़ें"
"Add to Wishlist","इच्छा सूचि में डालें"
"All","सभी"
"All Websites","सभी वेबसाइट"
"All products","सारे उत्पाद"
"All products - recently added products, New products - products marked as new","सभी उत्पाद - हाल ही में जोड़े गए उत्पाद, नए उत्पाद - नए के रूप में चिह्नित उत्पाद"
"Allow All Products per Page","प्रति पृष्ठ सभी उत्पादों को अनुमति दें"
"Amount","राशि"
"Anchor Custom Text","लंगर कस्टम पाठ"
"Anchor Custom Title","एंकर कस्टम शीर्षक"
"Are you sure you want to delete this category?","क्या आपको पूरा यकीन है कि आप इस भाग को हटाना चाहते हैं?"
"Are you sure?","क्या आपको यकीन है?"
"Attribute Information","जानकारी दें"
"Attribute Set","विशेषता सेट करें"
"Attribute Sets","गुण समूह"
"Attributes","गुण"
"Back","पीछे	"
"Backorders","backorders"
"Based On","पर आधारित"
"Block after Info Column","इंफो कॉलम के बाद ब्लॉक करें"
"Bottom/Left","नीचे बाएँ"
"Bottom/Right","नीचे दाएं"
"Cache Lifetime (Seconds)","कैश लाइफटाइम (सेकंड्स)"
"Cancel","रद्द करें"
"Catalog","कैटलॉग"
"Catalog Category Link","कैटलॉग श्रेणी लिंक"
"Catalog New Products List","कैटलॉग नए उत्पादों की सूची"
"Catalog Price Scope","कैटलॉग मूल्य स्कोप"
"Catalog Product Link","कैटलॉग उत्पाद लिंक"
"Catalog, Search","कैटलॉग, खोज"
"Categories","श्रेणियाँ"
"Category","वर्ग"
"Category Flat Data","श्रेणी फ्लैट डेटा"
"Category Link Block Template","श्रेणी लिंक ब्लॉक टेम्पलेट"
"Category Link Inline Template","श्रेणी लिंक इनलाइन टेम्पलेट"
"Category Products","श्रेणी के उत्पाद"
"Category Top Navigation","श्रेणी शीर्ष नेविगेशन"
"Category URL Suffix","श्रेणी URL प्रत्यय"
"Center","केंद्र"
"Change","परिवर्तन"
"Change status","अवस्था बदलो"
"Check items to add to the cart or","कार्ट में जोड़ने के लिए आइटम चेक करें या"
"Clear All","सभी साफ करें"
"Clear Price","स्पष्ट मूल्य"
"Click for price","कीमत के लिए क्लिक करें"
"Close Window","विंडो बंद करें"
"Collapse All","सभी को संकुचित करें"
"Comma-separated.","अल्पविराम से अलग।"
"Comparable","तुलनीय"
"Compare","तुलना"
"Compare Products","उत्पाद की तुलना करें"
"Configure Product","उत्पाद कॉन्फ़िगर करें"
"Continue","जारी रहना"
"Create","सर्जन करना"
"Create Permanent Redirect for old URL","पुराने URL के लिए स्थायी अनुप्रेषित बनाएँ"
"Cross-sells","क्रॉस-बेचता है"
"Custom Design","कस्टम डिजाइन"
"Custom Options","कस्टम विकल्प"
"Customer Group","ग्राहक समूह"
"Data Type for Saving in Database","डेटाबेस में बचत के लिए डेटा प्रकार"
"Date & Time Custom Options","दिनांक और समय कस्टम विकल्प"
"Date Fields Order","दिनांक फ़ील्ड आदेश"
"Datetime","दिनांक समय"
"Decimal","दशमलव"
"Default Price","डिफ़ॉल्ट मूल्य"
"Default Values","डिफ़ॉल्ट मान"
"Delete","हटाएँ"
"Delete Attribute","विशेषता हटाएँ"
"Delete Option","हटाएं विकल्प"
"Delete Row","पंक्ति को हटाएं"
"Delete Selected Group","चयनित समूह हटाएं"
"Delete Tier","टियर डिलीट करें"
"Description","विवरण"
"Design","डिज़ाइन"
"Details","विवरण"
"Disabled","अक्षम"
"Display Page Control","पृष्ठ नियंत्रण प्रदर्शित करें"
"Display Type","प्रदर्शन प्रकार"
"Edit","संपादित करें"
"Edit Product Attribute","उत्पाद गुण संपादित करें"
"Email","ईमेल"
"Email to a Friend","दोस्त को ईमेल करो"
"Empty","खाली"
"Enable Qty Increments","क्यूटी इंक्रीमेंट को सक्षम करें"
"Enabled","सक्षम"
"Expand All","सभी का विस्तार करें"
"Failed","विफल रहा"
"Filter","फ़िल्टर"
"First Name","प्रथम नाम"
"Fixed","स्थिर"
"Gallery","गेलरी"
"General Information","सामान्य जानकारी"
"Global","वैश्विक"
"Globally Editable","वैश्विक रूप से संपादन योग्य"
"Go to Home Page","मुखपृष्ठ प्र जाएं"
"Grid","ग्रिड"
"Groups","समूह"
"Home","घर"
"ID","आईडी"
"Image","छवि"
"In Stock","स्टॉक में"
"In stock","स्टॉक में"
"Incl. Tax","Incl। कर"
"Index product prices","सूचकांक उत्पाद की कीमतें"
