"-- Please Select --","-- कृपया चुने --"
"Add New Class","नई कक्षा जोड़ें"
"Add New Tax Rate","नई कर दर जोड़ें"
"Add New Tax Rule","नया टैक्स नियम जोड़ें"
"After Discount","छूट के बाद"
"Apply Customer Tax","ग्राहक कर लागू करें"
"Apply Discount On Prices","कीमतों पर छूट लागू करें"
"Apply Tax On","कर लागू करें"
"Are you sure you want to do this?","क्या आप निश्चयपूर्वक यह करना चाहते हैं?"
"Back","पीछे	"
"Before Discount","छूट से पहले"
"Calculation Settings","गणना सेटिंग्स"
"Catalog Prices","कैटलॉग मूल्य"
"Code","कोड"
"Country","देश"
"Custom price if available","कस्टम मूल्य यदि उपलब्ध हो"
"Customer Tax Class","ग्राहक कर वर्ग"
"Default Country","डिफ़ॉल्ट देश"
"Default Post Code","डिफ़ॉल्ट पोस्ट कोड"
"Default State","डिफ़ॉल्ट स्थिति"
"Default Tax Destination Calculation","डिफ़ॉल्ट कर गंतव्य गणना"
"Delete Rate","दर हटाएं"
"Delete Rule","नियम हटाएं"
"Display Full Tax Summary","पूर्ण कर सारांश प्रदर्शित करें"
"Display Prices","मूल्य प्रदर्शित करें"
"Display Product Prices In Catalog","कैटलॉग में उत्पाद की कीमतें प्रदर्शित करें"
"Display Shipping Amount","शिपिंग राशि प्रदर्शित करें"
"Display Shipping Prices","शिपिंग मूल्य प्रदर्शित करें"
"Display Subtotal","सबटोटल प्रदर्शित करें"
"Display Zero Tax Subtotal","प्रदर्शन जीरो टैक्स सबटोटल"
"Edit Rule","नियम संपादित करें"
"Edit Tax Rate","कर की दर संपादित करें"
"Enable Cross Border Trade","सीमा पार व्यापार सक्षम करें"
"Excl. Tax","Excl। कर"
"Excluding Tax","टैक्स छोड़कर"
"Grand Total (Excl. Tax)","ग्रैंड टोटल (एक्सल टैक्स)"
"Grand Total (Excl.Tax)","ग्रैंड टोटल (Excl.Tax)"
"Grand Total (Incl. Tax)","ग्रैंड टोटल (इंकल टैक्स)"
"Grand Total (Incl.Tax)","ग्रैंड टोटल (Incl.Tax)"
"Grand Total Excl. Tax","ग्रैंड टोटल एक्सल। कर"
"Grand Total Incl. Tax","ग्रैंड टोटल इंक्ल। कर"
"Inc. Tax","इंक टैक्स"
"Incl. Tax","Incl। कर"
"Including Tax","कर सहित"
"Including and Excluding Tax","सहित और बहिष्कृत कर"
"Tax Rules","कर नियम"
"Name","नाम"
"New Rule","नए नियम"
"New Tax Rate","नई कर दर"
"No","नहीं"
"None","कोई नहीं"
"Orders, Invoices, Credit Memos Display Settings","आदेश, चालान, क्रेडिट मेमो प्रदर्शन सेटिंग्स"
"Original price only","केवल मूल कीमत"
"Price Display Settings","मूल्य प्रदर्शन सेटिंग्स"
"Priority","प्राथमिकता"
"Product Tax Class","उत्पाद कर वर्ग"
"Range From","से रेंज"
"Range To","सीमा तक"
"Range To should be equal or greater than Range From.","रेंज रेंज से बराबर या उससे अधिक होना चाहिए।"
"Rate","दर"
"Rate Percent","दर प्रतिशत"
"Reset","रीसेट"
"Row Total","रो कुल"
"Sales","बिक्री"
"Save Rate","सेव रेट"
"Save Rule","नियम बचाओ"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Shipping & Handling (Excl.Tax)","शिपिंग और हैंडलिंग (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","शिपिंग और हैंडलिंग (Incl.Tax)"
"Shipping (Excl. Tax)","शिपिंग (एक्सेल टैक्स)"
"Shipping (Incl. Tax)","शिपिंग (इंकल टैक्स)"
"Shipping Prices","शिपिंग मूल्य"
"Shopping Cart Display Settings","शॉपिंग कार्ट प्रदर्शन सेटिंग्स"
"Sort Order","सॉर्ट क्रम"
"State","राज्य"
"State/Region","राज्य / क्षेत्र"
"Subtotal (Excl. Tax)","सबटोटल (एक्सेल टैक्स)"
"Subtotal (Excl.Tax)","सबटोटल (Excl.Tax)"
"Subtotal (Incl. Tax)","सबटोटल (इंकल टैक्स)"
"Subtotal (Incl.Tax)","सबटोटल (Incl.Tax)"
"Tax","कर"
"Tax Calculation Based On","के आधार पर कर की गणना"
"Tax Calculation Method Based On","कर गणना पद्धति पर आधारित"
"Tax Class for Shipping","शिपिंग के लिए टैक्स क्लास"
"Tax Classes","कर वर्ग"
"Tax Identifier","कर पहचानकर्ता"
"Tax Rate","कर दर"
"Tax Rate Information","कर दर जानकारी"
"Tax Rule Information","टैक्स नियम की जानकारी"
"Tax Titles","टैक्स टाइटल"
"Tax rates at the same priority are added, others are compounded.","एक ही प्राथमिकता पर कर की दरें जोड़ी जाती हैं, अन्य मिश्रित होती हैं।"
"The tax rule has been deleted.","कर नियम हटा दिया गया है।"
"This rule no longer exists.","यह नियम अब मौजूद नहीं है।"
"Total","कुल"
"Unit Price","यूनिट मूल्य"
"Yes","हाँ"
"Zip/Post Code","ज़िप पोस्ट कोड"
"Zip/Post is Range","ज़िप / पोस्ट रेंज है"
