"Add","जोड़ना"
"Admin","व्यवस्थापक"
"Attribute Set","विशेषता सेट करें"
"Attributes","गुण"
"Back","पीछे	"
"Backorders","backorders"
"Catalog","कैटलॉग"
"City","शहर"
"Company","कंपनी"
"Country","देश"
"Create","सर्जन करना"
"Create Permanent Redirect for old URL","पुराने URL के लिए स्थायी अनुप्रेषित बनाएँ"
"Customer","ग्राहक"
"Delete","हटाएँ"
"Discount","छूट"
"Discount Amount","छूट राशि"
"Edit","संपादित करें"
"Email","ईमेल"
"Enable Qty Increments","क्यूटी इंक्रीमेंट को सक्षम करें"
"First Name","प्रथम नाम"
"Gift Message","उपहार संदेश"
"Grand Total","महायोग"
"Guest","अतिथि"
"ID","आईडी"
"Label","लेबल"
"Last Name","अंतिम नाम"
"Manage Stock","स्टॉक प्रबंधित करें"
"Maximum Qty Allowed in Shopping Cart","शॉपिंग कार्ट में अधिकतम अनुमति दी गई"
"Minimum Qty Allowed in Shopping Cart","खरीदारी की टोकरी में न्यूनतम मात्रा"
"Notify for Quantity Below","नीचे मात्रा के लिए सूचित करें"
"Order","ऑर्डर"
"Order Comments","आदेश टिप्पणियां"
"Order Date","आदेश की तारीख"
"Order ID","आदेश कामतत्व"
"Order Status","आदेश की स्थिति"
"Orders","ऑर्डर"
"Original Price","मूल कीमत"
"Payment Method","भुगतान का तरीका"
"Phone Number","फ़ोन नंबर"
"Placed from IP","आईपी से रखा गया"
"Position","पद"
"Price","मूल्य"
"Product","उत्पाद"
"Product ID","उत्पाद आइ डि"
"Qty","मात्रा"
"Qty Increments","मात्रा वृद्धि"
"Qty Uses Decimals","मात्रा का उपयोग करता है दशमलव"
"SKU","एसकेयु"
"Sales","बिक्री"
"Save","सहेजें"
"Shipping Amount","शिपिंग राशि"
"Shipping Method","शिपिंग का तरीका"
"State","राज्य"
"Stock Availability","स्टॉक की उपलब्धता"
"Subtotal","उप-योग"
"System","सिस्‍टम"
"Tax Amount","कर राशि"
"Tax Percent","कर का प्रतिशत"
"Tax Rate","कर दर"
"Total Due","कुल बचे"
"Total Paid","कुल भुगतान हो गया"
"Total Refunded","कुल वापसी"
"Type","प्रकार"
"URL","यूआरएल"
"Update","अपडेट करें"
"ZIP/Postal Code","ज़िप/पोस्ट कोड"
