"Actions","कार्रवाई"
"Are you sure?","क्या आपको यकीन है?"
"Date Added","जोड़ने की तिथि"
"Last Update","अंतिम अद्यतन"
"Mark as Read","पढ़ा चिह्नित करें"
"Message","संदेश "
"Messages Inbox","संदेश इनबॉक्स"
"Notifications","सूचनाएं"
"Read Details","विवरण पढ़ें"
"Remove","निकालें"
"Severity","गंभीरता"
"Show List","सूची दिखाएं"
"Show Toolbar","उपकरण पट्टी दिखाएं"
"Update Frequency","अद्यतन आवृत्ति"
"Use HTTPS to Get Feed","फ़ीड प्राप्त करने के लिए HTTPS का उपयोग करें"
"major","प्रमुख"
"minor","मामूली"
