"* Required Fields","* आवश्यक फील्ड्स"
"--Please Select--","--कृपया चुनें--"
"Card Verification Number","कार्ड सत्यापन संख्या"
"Currency","चलन"
"Day","दिन"
"Enabled","सक्षम"
"Incorrect credit card expiration date.","गलत क्रेडिट कार्ड की समाप्ति तिथि।"
"Month","महीना"
"N/A","एन / ए"
"New Order Status","नई व्यवस्था की स्थिति"
"Password","पासवर्ड"
"Payment Method","भुगतान का तरीका"
"Please enter a valid credit card verification number.","कृपया एक मान्य क्रेडिट कार्ड सत्यापन नंबर दर्ज करें।"
"Shipping Amount","शिपिंग राशि"
"Sort Order","सॉर्ट क्रम"
"Start Date","प्रारंभ दिनांक"
"Tax Amount","कर राशि"
"Title","शीर्षक"
"What is this?","यह क्या है?"
"Year","साल"
