"Action","कार्य"
"Add New Block","नया ब्लॉक जोड़ें"
"Add New Page","नया पृष्ठ जोड़ें"
"All Countries","सभी देश"
"Anchor Custom Text","लंगर कस्टम पाठ"
"Anchor Custom Title","एंकर कस्टम शीर्षक"
"Block","ब्लॉक"
"Block Title","ब्लॉक शीर्षक"
"CMS","सीएमएस (CMS)"
"CMS Home Page","सीएमएस होम पेज"
"CMS No Cookies Page","CMS कोई कुकी पृष्ठ नहीं"
"CMS No Route Page","सीएमएस कोई मार्ग पृष्ठ नहीं"
"CMS Page","सीएमएस पेज"
"CMS Page Link","सीएमएस पेज लिंक"
"CMS Page Link Block Template","सीएमएस पृष्ठ लिंक ब्लॉक टेम्पलेट"
"CMS Page Link Inline Template","सीएमएस पृष्ठ लिंक इनलाइन टेम्पलेट"
"CMS Static Block","सीएमएस स्टेटिक ब्लॉक"
"CMS Static Block Default Template","सीएमएस स्टेटिक ब्लॉक डिफ़ॉल्ट टेम्पलेट"
"Collapse All","सभी को संकुचित करें"
"Content","सामग्री"
"Content Heading","सामग्री शीर्षक"
"Content Management","सामग्री प्रबंधन"
"Contents of a Static Block","एक स्टेटिक ब्लॉक की सामग्री"
"Custom Design","कस्टम डिजाइन"
"Custom Layout","कस्टम लेआउट"
"Custom Theme","कस्टम थीम"
"Delete Block","ब्लॉक हटाएं"
"Delete File","फ़ाइल को हटाएं"
"Delete Folder","फ़ोल्डर हटाएं"
"Delete Page","पृष्ठ हटाएं"
"Description","विवरण"
"Design","डिज़ाइन"
"Disabled","अक्षम"
"Edit Block","ब्लॉक संपादित करें"
"Edit Page","पृष्ठ संपादित करें"
"Enable WYSIWYG Editor","WYSIWYG संपादक सक्षम करें"
"Enabled","सक्षम"
"Expand All","सभी का विस्तार करें"
"General Information","सामान्य जानकारी"
"Go to Home Page","मुखपृष्ठ प्र जाएं"
"Home","घर"
"ID","आईडी"
"Identifier","पहचानकर्ता"
"If empty, the Page Title will be used","खाली होने पर, पृष्ठ शीर्षक का उपयोग किया जाएगा"
"Insert File","फ़ाइल डालें"
"Layout","ख़ाका"
"Layout Update XML","लेआउट अपडेट XML"
"Link to a CMS Page","सीएमएस पेज का लिंक"
"Media Gallery","मीडिया गैलरी"
"Media Storage","मीडिया संग्रहण"
"Meta Description","मेटा विवरण"
"Meta Keywords","मेटा कीवर्ड"
"New Block","नई ब्लॉक"
"New Folder Name:","नया फ़ोल्डर नाम:"
"New Page","नया पृष्ठ"
"No files found","कोई भी फाइल नहीं मिली"
"Page Information","पृष्ठ जानकारी"
"Page Title","पृष्ठ शीर्षक"
"Pages","पृष्ठों"
"Redirect to CMS-page if Cookies are Disabled","यदि कुकीज़ अक्षम हैं तो सीएमएस-पृष्ठ पर पुनर्निर्देशित करें"
"Save Page","पृष्ठ सहेजें"
"Select Block...","ब्लॉक चुनें..."
"Select Page...","पेज का चयन करें"
"Show Breadcrumbs for CMS Pages","सीएमएस पेज के लिए ब्रेडक्रंब दिखाएँ"
"Show Notice if JavaScript is Disabled","यदि जावास्क्रिप्ट अक्षम है तो सूचना दिखाएं"
"Static Blocks","स्थैतिक ब्लॉक"
"Status","स्थिति"
"Storage Root","भंडारण रूट"
"Store View","स्टोर दृश्य"
"Template","खाका"
"The page has been deleted.","पृष्ठ हटा दिया गया है ।"
"This block no longer exists.","यह ब्लॉक अब मौजूद नहीं है ।"
"This page no longer exists.","यह पृष्ठ अब मौजूद नहीं है ।"
"Title","शीर्षक"
"URL Key","URL कुंजी"
"WYSIWYG Options","WYSIWYG विकल्प"
"px.","पिक्सल।"
