"Catalog","कैटलॉग"
"Click for price","कीमत के लिए क्लिक करें"
"Customer Order Status Notification","ग्राहक आदेश स्थिति अधिसूचना"
"Discount","छूट"
"From:","से:"
"Gift Message","उपहार संदेश"
"Grand Total","महायोग"
"Low Stock Products","कम स्टॉक उत्पाद"
"Message:","संदेश:"
"New Orders","नए आदेश"
"New Products","नये उत्पाद"
"Order","ऑर्डर"
"Pending product review(s)","लंबित उत्पाद समीक्षा (s)"
"Shipping &amp; Handling","शिपिंग और amp; हैंडलिंग"
"Special Products","विशेष उत्पाद"
"Subtotal","उप-योग"
"Tax","कर"
"To:","सेवा मेरे:"
"Top Level Category","शीर्ष स्तर की श्रेणी"
