"-- Please Select --","-- कृपया चुने --"
"1 column","1 कॉलम"
"2 columns with left bar","बाईं पट्टी के साथ 2 कॉलम"
"2 columns with right bar","दाहिने पट्टी के साथ 2 कॉलम"
"3 columns","3 कॉलम"
"About the calendar","कैलेंडर के बारे में"
"Account","लेखा"
"Close","बंद करें"
"Close Window","विंडो बंद करें"
"Default welcome msg!","डिफ़ॉल्ट स्वागत संदेश!"
"Empty","खाली"
"Go Today","आज पर जाएँ"
"JavaScript seems to be disabled in your browser.","लग रहा है कि जावास्क्रिप्ट आपके ब्राउज़र में अक्षम है।"
"Menu","मेन्यू"
"Next","अगला"
"Previous","पिछला"
"Report All Bugs","रिपोर्ट सभी कीड़े"
"Search","खोज"
"Select Store","स्टोर का चयन करें"
"Show","प्रदर्शन"
"View All","सभी को देखें"
"Your Language","आपकी भाषा"
"Your Language:","आपकी भाषा:"
"per page","प्रति पृष्ठ"
