"Action","कार्य"
"Add to Cart","कार्ट में डालें"
"Add to Compare","तुलना में जोड़ें"
"Add to Wishlist","इच्छा सूचि में डालें"
"Any","कोई भी"
"Are you sure?","क्या आपको यकीन है?"
"Compared Products Grid Template","तुलना उत्पाद ग्रिड टेम्पलेट"
"Compared Products List Template","तुलना उत्पाद सूची टेम्पलेट"
"Coupons","कूपन"
"Created At","पर बनाया गया"
"Customer","ग्राहक"
"Customer Name","ग्राहक का नाम"
"Customers","ग्राहकों"
"Customers by Orders Total","कुल ऑर्डर के अनुसार ग्राहक"
"Dashboard","डैशबोर्ड"
"Day","दिन"
"Description","विवरण"
"Email","ईमेल"
"Filter","फ़िल्टर"
"First Name","प्रथम नाम"
"From","से"
"General","सामान्य"
"Guest","अतिथि"
"ID","आईडी"
"Invoiced","चालान की गई"
"Last Name","अंतिम नाम"
"List of Products Recently Viewed by Visitor","हाल ही में आगंतुक द्वारा देखे गए उत्पादों की सूची"
"Month","महीना"
"Name","नाम"
"No","नहीं"
"Number of Products to display","प्रदर्शित करने के लिए उत्पादों की संख्या"
"Order Status","आदेश की स्थिति"
"Orders","ऑर्डर"
"Out of stock","स्टॉक ख़त्म"
"Price","मूल्य"
"Product Name","उत्पाद का नाम"
"Products","उत्पादों"
"Recently Compared","हाल ही में तुलना की"
"Recently Compared Products","हाल ही में तुलनात्मक उत्पाद"
"Recently Viewed","हाल में ही देखा गया"
"Recently Viewed Products","अभी देखे उत्पाद"
"Recently Viewed/Compared Products","हाल ही में देखा / तुलना उत्पादों"
"Refunds","रिफंड"
"Results","परिणाम"
"Sales","बिक्री"
"Shipping","शिपिंग"
"Shopping Cart","शॉपिंग कार्ट"
"Show Actual Values","वास्तविक मूल्य दिखाएं"
"Specified","निर्दिष्ट"
"Subtotal","उप-योग"
"Tax","कर"
"Title","शीर्षक"
"To","से"
"Total","कुल"
"Viewed Products Grid Template","देखा उत्पाद ग्रिड टेम्पलेट"
"Viewed Products List Template","देखे गए उत्पादों की सूची टेम्पलेट"
"Year","साल"
"Yes","हाँ"
