"Add Option","विकल्प जोड़ें"
"Attribute Code","विशेषता कोड"
"Attribute Label","लेबल संलग्न करें"
"Attribute Properties","गुण गुण"
"Attribute object is undefined","विशेषता वस्तु अपरिभाषित है"
"Attribute with the same code","एक ही कोड के साथ विशेषता"
"Catalog Input Type for Store Owner","संग्रह स्वामी के लिए कैटलॉग इनपुट प्रकार"
"Date","दिनांक"
"Decimal Number","दशमलव संख्या"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","डिफ़ॉल्ट उत्पाद सूची क्रमबद्ध करके उपलब्ध उत्पाद सूची क्रमबद्ध करके मौजूद नहीं है।"
"Default Value","डिफ़ॉल्ट मान"
"Delete","हटाएँ"
"Dropdown","ड्रॉप डाउन"
"Email","ईमेल"
"Entity is not initialized","इकाई शुरू नहीं की गई है"
"Entity object is undefined","इकाई वस्तु अपरिभाषित है"
"Form Element with the same attribute","एक ही विशेषता के साथ फार्म तत्व"
"Form Fieldset with the same code","एक ही कोड के साथ फॉर्म फ़ील्ड"
"Form Type with the same code","एक ही कोड के साथ फॉर्म टाइप करें"
"Input Validation for Store Owner","स्टोर मालिक के लिए इनपुट सत्यापन"
"Integer Number","पूर्णांक संख्या"
"Invalid alias, already exists in joint attributes","अमान्य उपनाम, पहले से ही संयुक्त विशेषताओं में मौजूद है"
"Invalid date","अमान्य तिथि"
"Invalid joint fields","अवैध संयुक्त क्षेत्र"
"Joint field or attribute expression with this alias is already declared","इस क्षेत्र के साथ संयुक्त क्षेत्र या विशेषता अभिव्यक्ति पहले से ही घोषित है"
"Letters","पत्र"
"Letters (a-z, A-Z) or Numbers (0-9)","पत्र (ए-जेड, ए-जेड) या नंबर (0-9)"
"Multiple Select","एकाधिक चयन करें"
"No","नहीं"
"None","कोई नहीं"
"Required","आवश्यक"
"System","सिस्‍टम"
"Text Area","पाठ क्षेत्र"
"Text Field","पाठ का क्षेत्र"
"URL","यूआरएल"
"Unique Value","अनोखा मूल्य"
"Unique Value (not shared with other products)","अद्वितीय मान (अन्य उत्पादों के साथ साझा नहीं)"
"Values Required","मूल्यों की आवश्यकता"
"Yes","हाँ"
"Yes/No","हाँ नही"
