"* Required Fields","* आवश्यक फील्ड्स"
"Add New Option","नया विकल्प जोड़ें"
"As Low as","के रूप में कम के रूप में"
"As low as","जितना कम"
"Click for price","कीमत के लिए क्लिक करें"
"Close","बंद करें"
"Default","चूक"
"Dynamic","गतिशील"
"Excl. Tax","Excl। कर"
"Fixed","स्थिर"
"From","से"
"From:","से:"
"Gift Message","उपहार संदेश"
"Incl. Tax","Incl। कर"
"Input Type","निवेष का प्रकार"
"Is Required","आवश्यक है"
"Message:","संदेश:"
"Multiple Select","एकाधिक चयन करें"
"N/A","एन / ए"
"None","कोई नहीं"
"Percent","प्रतिशत"
"Please enter a number greater 0 in this field.","कृपया इस क्षेत्र में संख्या 0 दर्ज करें।"
"Position","पद"
"Price Type","मूल्य प्रकार"
"SKU","एसकेयु"
"Shipment","शिपमेंट"
"To","से"
"To:","सेवा मेरे:"
"Use Default Value","डिफ़ॉल्ट मान का उपयोग करें"
