"Action","कार्य"
"Add","जोड़ना"
"Add to Cart","कार्ट में डालें"
"Add to Wishlist","इच्छा सूचि में डालें"
"Are you sure you want to do this?","क्या आप निश्चयपूर्वक यह करना चाहते हैं?"
"Are you sure?","क्या आपको यकीन है?"
"Back","पीछे	"
"Change status","अवस्था बदलो"
"Country","देश"
"Customers","ग्राहकों"
"Delete","हटाएँ"
"Disabled","अक्षम"
"Email","ईमेल"
"First Name","प्रथम नाम"
"General Information","सामान्य जानकारी"
"Grid","ग्रिड"
"ID","आईडी"
"Last Name","अंतिम नाम"
"List","सूची"
"Name","नाम"
"Pending","अपूर्ण"
"Price","मूल्य"
"Product Name","उत्पाद का नाम"
"Products","उत्पादों"
"Remove","निकालें"
"SKU","एसकेयु"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Status","स्थिति"
"Store View","स्टोर दृश्य"
"Update","अपडेट करें"
"ZIP/Post Code","ज़िप पोस्ट कोड"
"[STORE VIEW]","[स्टोर दृश्य]"
