"* Required Fields","* आवश्यक फील्ड्स"
"Add to Cart","कार्ट में डालें"
"Add to Compare","तुलना में जोड़ें"
"Add to Wishlist","इच्छा सूचि में डालें"
"Back","पीछे	"
"Click for price","कीमत के लिए क्लिक करें"
"Comment","टिप्पणी"
"Date Added","जोड़ने की तिथि"
"Edit","संपादित करें"
"Email Sender","ईमेल भेजने वाला"
"Email Template","ईमेल टेम्पलेट"
"Enabled","सक्षम"
"General Options","आम विकल्प"
"In stock","स्टॉक में"
"Message","संदेश "
"Out of stock","स्टॉक ख़त्म"
"Price","मूल्य"
"Product","उत्पाद"
"Qty","मात्रा"
"Remove Item","वस्तु निकालो"
"Remove This Item","इस सामान को हटाओ"
"Remove item","आइटम हटाएँ"
"SKU","एसकेयु"
"Sharing Information","सूचना साझा कर रहे हैं"
"What's this?","यह क्या है?"
