"(Excl. Tax)","(Excl टैक्स)"
"(Incl. Tax)","(इंकल टैक्स)"
"* Required Fields","* आवश्यक फील्ड्स"
"Add New Address","नया पता जोड़ें"
"Add to Cart","कार्ट में डालें"
"Add to Compare","तुलना में जोड़ें"
"Add to Wishlist","इच्छा सूचि में डालें"
"Address","पता"
"Apply","लागू करें"
"Back","पीछे	"
"Billing Address","बिल भेजने का पता"
"Cancel","रद्द करें"
"Change","परिवर्तन"
"Checkout","चेकआउट"
"City","शहर"
"Clear Shopping Cart","शॉपिंग कार्ट साफ़ करें|"
"Close","बंद करें"
"Company","कंपनी"
"Content","सामग्री"
"Continue","जारी रहना"
"Country","देश"
"Details","विवरण"
"Disabled","अक्षम"
"Edit","संपादित करें"
"Edit Address","पता संपादित करें"
"Email Address","ईमेल पता"
"Enabled","सक्षम"
"Excl. Tax","Excl। कर"
"Fax","फैक्स"
"Gift Message","उपहार संदेश"
"ID","आईडी"
"Incl. Tax","Incl। कर"
"Items","आइटम्स"
"Login","लॉग इन"
"New Address","नया पता"
"No Payment Methods","कोई भुगतान विधि नहीं"
"Order #","ऑर्डर #"
"Password","पासवर्ड"
"Payment Information","भुगतान की जानकारी"
"Payment Method","भुगतान का तरीका"
"Place Order","स्थान क्रम"
"Price","मूल्य"
"Proceed to Checkout","चेकआउट के लिए आगे बढ़ें"
"Product","उत्पाद"
"Product Name","उत्पाद का नाम"
"Products","उत्पादों"
"Qty","मात्रा"
"Quantity","मात्रा"
"Remove Item","वस्तु निकालो"
"Remove This Item","इस सामान को हटाओ"
"Remove item","आइटम हटाएँ"
"SKU","एसकेयु"
"Sales","बिक्री"
"Save in address book","पता पुस्तिका में सहेजें"
"Select a shipping address from your address book or enter a new address.","अपनी पता पुस्तिका से शिपिंग पते का चयन करें या एक नया पता दर्ज करें।"
"Shipping Address","शिपिंग पता"
"Shipping Information","शिपिंग सूचना"
"Shipping Method","शिपिंग का तरीका"
"Shopping Cart","शॉपिंग कार्ट"
"State/Province","राज्य/प्रांत"
"Status","स्थिति"
"Store View","स्टोर दृश्य"
"Street Address","सड़क का पता"
"Subtotal","उप-योग"
"Text","टेक्स्ट"
"Total","कुल"
"Unit Price","यूनिट मूल्य"
"Update","अपडेट करें"
"Update Cart","शॉपिंग कार्ट अपडेट करें|"
"Update Shopping Cart","खरीदारी की टोकरी अपडेट करें"
"What's this?","यह क्या है?"
"Zip/Postal Code","ज़िप/पोस्ट कोड"
