"* Required Fields","* आवश्यक फील्ड्स"
"ALL GROUPS","सभी सकल"
"Account Information","खाते की जानकारी"
"Action","कार्य"
"Add New Address","नया पता जोड़ें"
"Add New Customer Group","नया ग्राहक समूह जोड़ें"
"Address","पता"
"Address Book","पता पुस्तिका"
"Address Information","पते की जानकारी"
"Admin","व्यवस्थापक"
"All","सभी"
"All Store Views","सभी स्टोर दृश्य"
"All countries","सभी देश"
"Amount","राशि"
"Are you sure?","क्या आपको यकीन है?"
"Back","पीछे	"
"Bad request.","खराब अनुरोध।"
"Cancel","रद्द करें"
"City","शहर"
"Company","कंपनी"
"Configure","कॉन्फ़िगर"
"Confirmed","की पुष्टि"
"Country","देश"
"Create","सर्जन करना"
"Create Order","आदेश बनाएँ"
"Customer","ग्राहक"
"Customer Group","ग्राहक समूह"
"Customer Groups","ग्राहक समूह"
"Customer View","ग्राहक दृश्य"
"Customers","ग्राहकों"
"Date","दिनांक"
"Date Added","जोड़ने की तिथि"
"Date of Birth","जन्म की तारीख"
"Day","दिन"
"Delete","हटाएँ"
"Delete Customer","ग्राहक को हटा दें"
"Delete Customer Group","ग्राहक समूह हटाएं"
"Deleted Stores","हटाए गए स्टोर"
"Details","विवरण"
"Disabled","अक्षम"
"Edit","संपादित करें"
"Edit Address","पता संपादित करें"
"Edit Customer Groups","ग्राहक समूह संपादित करें"
"Edit Group","समूह संपादित करें"
"Email","ईमेल"
"Email Address","ईमेल पता"
"Email Sender","ईमेल भेजने वाला"
"Email:","ईमेल:"
"Fax","फैक्स"
"First Name","प्रथम नाम"
"Forgot Your Password?","अपना पासवर्ड भूल गए?"
"Global","वैश्विक"
"Group Information","समूह जानकारी"
"Group Name","समूह का नाम"
"Guest","अतिथि"
"ID","आईडी"
"Invalid login or password.","अवैध लॉगइन या पासवर्ड।"
"Last Date Subscribed","अंतिम तिथि सदस्यता"
"Last Date Unsubscribed","अंतिम तिथि सदस्यता रद्द"
"Last Name","अंतिम नाम"
"Login","लॉग इन"
"Month","महीना"
"My Account","मेरा खाता"
"My Orders","मेरे आदेश"
"Name","नाम"
"Never","कभी नहीँ"
"New Address","नया पता"
