"Action","कार्य"
"Add New Template","नया टेम्पलेट जोड़ें"
"Back","पीछे	"
"Cancel","रद्द करें"
"Convert to Plain Text","सादा पाठ में परिवर्तित करें"
"Customer","ग्राहक"
"Date Added","जोड़ने की तिथि"
"Delete","हटाएँ"
"Delete Template","टेम्पलेट हटाएं"
"Edit Template","टेम्पलेट संपादित करें"
"Email","ईमेल"
"Guest","अतिथि"
"ID","आईडी"
"Message","संदेश "
"New Template","नया टेम्पलेट"
"Newsletter","समाचार पत्रिका"
"Newsletter Subscription","न्यूज़लैटर की सदस्यता"
"No Templates Found","कोई टेम्पलेट नहीं मिला"
"Not Sent","नहीं भेजा गया"
"Paused","रोके गए"
"Please enter a valid email address.","कृपया एक वैध ई - मेल एड्रेस डालें।"
"Preview","पूर्वावलोकन"
"Preview Template","टेम्पलेट का पूर्वावलोकन करें"
"Queue Information","केही जानकारी"
"Reset","रीसेट"
"Save Template","टेम्पलेट सहेजें"
"Sender","प्रेषक"
"Sender Email","भेजने वाले का ईमेल"
"Sender Name","भेजने वाले का नाम"
"Sending","भेजना"
"Sent","भेज दिया"
"Status","स्थिति"
"Store","स्टोर"
"Store View","स्टोर दृश्य"
"Subject","विषय"
"Submit","जमा करें"
"Template Content","टेम्पलेट सामग्री"
"Template Information","साँचा जानकारी"
"Template Name","टेम्पलेट नाम"
"Template Styles","टेम्पलेट शैलियाँ"
"Template Subject","टेम्पलेट विषय"
"Template Type","साँचा प्रकार"
"Type","प्रकार"
"Website","वेबसाइट"
