"Add Option","افزودن گزینه"
"Attribute Code","کد ویژگی"
"Attribute Label","برچسب ویژگی"
"Attribute Properties","خواص ویژگی"
"Attribute object is undefined","ویژگی تعريف نشده است"
"Attribute with the same code","ویژگی با کد یکسان"
"Catalog Input Type for Store Owner","نوع ورودی کاتالوگ برای مالک فروشگاه"
"Date","تاریخ"
"Decimal Number","عدد اعشاری"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","مرتب سازی فهرست محصول پیش فرض در مرتب سازی فهرست محصول موجود وجود ندارد."
"Default Value","مقدار پیش فرض"
"Delete","حذف"
"Dropdown","کشویی"
"Email","ايميل"
"Entity is not initialized","ورودی مقداردهی اولیه نشده است"
"Entity object is undefined","موجوديت شیء تعریف نشده است"
"Form Element with the same attribute","المان فرم با ویژگی یکسان"
"Form Fieldset with the same code","مجموعه فیلد فرم با کد یکسان"
"Form Type with the same code","نوع فرم با کد یکسان"
"Input Validation for Store Owner","ارزیابی ورودی برای مالک فروشگاه"
"Integer Number","عدد صحیح"
"Invalid alias, already exists in joint attributes","نام مستعار نامعتبر بوده و در حال حاضر در ویژگی های مشترک وجود دارد"
"Invalid date","تاریخ نامعتبر است"
"Invalid joint fields","فیلدهای مشترک نامعتبر"
"Joint field or attribute expression with this alias is already declared","فیلد مشترک یا ویژگی با این نام مستعار قبلا اعلام شده است"
"Letters","حروف"
"Letters (a-z, A-Z) or Numbers (0-9)","حروف (a-z, A-Z) یا اعداد (9-0)"
"Multiple Select","چند انتخابی"
"No","خیر"
"None","هیچ یک"
"Required","الزامی"
"System","سيستم"
"Text Area","ناحیه‌ی متنی"
"Text Field","فیلد متنی"
"Unique Value","مقدار یکتا"
"Unique Value (not shared with other products)","مقدار یکتا (با محصولات دیگر مشترک نیست)"
"Values Required","مقادیر الزامی"
"Yes","بله"
"Yes/No","بله/ خیر"
