"Allow for Guests","اجازه برای مهمانان"
"Back","بازگشت"
"Email Address","آدرس ايمميل"
"Email Address:","آدرس ایمیل:"
"Email Templates","قالب‌ های ایمیل"
"Email to a Friend","ایمیل به یک دوست"
"Email:","ایمیل:"
"Enabled","فعال"
"Invalid Sender Information","اطلاعات فرستنده نامعتبر"
"Limit Sending By","محدودیت ارسال با"
"Max Products Sent in 1 Hour","بیشینه محصولات در 1 ساعت ارسال شد"
"Max Recipients","بیشینه گیرندگان"
"Message:","پیغام:"
"Name","نام"
"Select Email Template","انتخاب قالب ایمیل"
"Send Email","ارسال ایمیل"
"Some emails were not sent.","برخی از ایمیل‌ها ارسال نشده بودند."
"The link to a friend was sent.","لینک به یک دوست ارسال شده بود."
