"Catalog","فهرست"
"Click for price","برای مشاهده قیمت کلیک کنید"
"Coupons/Discounts","کوپن‌ها/تخفیف‌ها"
"Customer Order Status Notification","اطلاعیه‌ی وضیعت سفارش مشتری"
"Discount","تخفيف"
"Enable RSS","RSS ممکن"
"From:","از:"
"Get Feed","دریافت فید"
"Gift Message","پيغام هديه"
"Grand Total","جمع کل نهایی"
"Low Stock Products","محصولات با موجودی کم"
"Message:","پیغام:"
"Miscellaneous Feeds","فیدهای گوناگون"
"New Orders","سفارش‌های جدید"
"New Products","محصولات جدید"
"Order","سفارش"
"Pending product review(s)","نظر(ات) محصول در انتظار"
"RSS Feeds","فیدهای RSS"
"RSS Feeds Section","RSS بخش فيدهاي"
"Rss Config","پیکربندی Rss"
"Shipping &amp; Handling","ارسال و رسیدگی"
"Special Products","محصولات ویژه"
"Subtotal","جمع جز"
"Tax","مالیات"
"To:","به:"
"Top Level Category","دسته‌ بندی سطح بالا"
"Wishlist","لیست علاقه مندی"
