" for more information or "," برای اطلاعات بیشتر یا "
"# of Items (and above)","تعداد موارد (و بیشتر)"
"# of Items vs. Destination","تعداد موارد در برابر مقصد"
"Allow Shipping to Multiple Addresses","اجازه‌ ارسال به چندین آدرس"
"Calculate Handling Fee","محاسبه‌ هزینه‌ رسیدگی"
"Carrier:","حامل:"
"City","شهر"
"Close Window","بستن پنجره"
"Condition","شرط"
"Country","كشور"
"Custom Value","مقدار سفارشی"
"Date","تاریخ"
"Delivered on:","تحویل شده در:"
"Description","توصیف"
"Displayed Error Message","پیغام خطای نمایش داده شده"
"Divide to equal weight (one request)","تقسیم وزن برابر (یک درخواست)"
"Enabled","فعال"
"Error:","خطا:"
"Export","خروجی گرفتن"
"Fixed","ثابت"
"Flat Rate","نرخ یکنواخت"
"Free Shipping","ارسال رایگان"
"Handling Fee","هزینه رسیدگی"
"Import","وارد کردن"
"Include Virtual Products in Price Calculation","شامل محصولات مجازی در محاسبه‌ قیمت"
"Info:","اطلاعات:"
"Local Time","زمان محلی"
"Location","موقعیت"
"Maximum Qty Allowed for Shipping to Multiple Addresses","حداکثر تعداد مجاز ارسال به آدرس های مختلف"
"Method Name","نام روش"
"Minimum Order Amount","حداقل مبلغ سفارش"
"N/A","هیچ"
"None","هیچ یک"
"Options","گزينه ها"
"Order Subtotal (and above)","مجموع سفارش (و بیشتر)"
"Origin","مبدا"
"Per Order","بر سفارش"
"Per Package","بر بسته"
"Percent","درصد"
"Price","قيمت"
"Price vs. Destination","قیمت در برابر مقصد"
"Region/State","منطقه/استان"
"Ship to Applicable Countries","ارسال به کشورهای قابل قبول"
"Ship to Specific Countries","ارسال به کشورهای خاص"
"Shipment #","محموله‌ی شماره‌ی"
"Shipping Methods","روش‌های ارسال"
"Shipping Settings","تنظیمات ارسال"
"Show Method if Not Applicable","اگر روش اجرا شدنی نبود، آن را نمایش بده"
"Sort Order","ترتيب سفارش"
"Status:","وضعیت:"
"Store Pickup","پیکاپ فروشگاه"
"Street Address","خیابان"
"Street Address Line 2","آدرس خيابان خط 2"
"Table Rates","نرخ های جدول"
"The shipping module is not available.","ماژول ارسال در دسترس نیست."
"There is no tracking available for this shipment.","هیچ پیگیری در دسترسی برای این محموله وجود ندارد."
"There is no tracking available.","هیچ پیگیری در دسترسی وجود ندارد."
"Title","عنوان"
"Track:","پیگیری:"
"Tracking Information","اطلاعات پیگیری"
"Tracking Number:","شماره‌ی پیگیری:"
"Tracking information is currently not available. Please ","اطلاعات پیگیری در حال حاضر در دسترس نیستند. لطفا "
"Type","نوع"
"Use origin weight (few requests)","استفاده از وزن مبدا (چند درخواست)"
"Weight (and above)","وزن (و بیشتر)"
"Weight vs. Destination","وزن در برابر مقصد"
"ZIP/Postal Code","کد پستی"
"contact us","تماس با ما"
"email us at ","به ما ایمیل بزنید در"
