" [deleted]"," [حذف شده]"
"* Required Fields","* زمينه هاي مورد نياز"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"-- Please Select Billing Agreement--","-- لطفا قرارداد صدور صورت حساب را انتخاب نمایید--"
"-- Please Select a Category --","-- لطفا یک دسته بندی را انتخاب نمایید --"
"-- Please select --","-- لطفا انتخاب نمایید --"
"--Please Select--","--لطفا انتخاب کنيد--"
"1 Hour","1 ساعت"
"12 Hours","12 ساعت"
"12h AM/PM","12 ساعته ق.ظ/ب.ظ"
"2 Hours","2 ساعت"
"24 Hours","24 ساعت"
"24h","24 ساعته"
"2YTD","2 سال گذشته تاکنون"
"6 Hours","6 ساعت"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">خطای 404</h1><p>صفحه یافت نشد.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>توجه</strong>: کد امنيتي به حروف حساس است."
"A user with the same user name or email already exists.","کاربر با همان نام کاربری یا ایمیل قبلا وجود دارد."
"API Key","کلید API"
"ASCII","اسکی"
"Abandoned Carts","سبدهای خرید رها شده"
"About the calendar","درباره‌ی تقویم"
"Account Created in:","حساب کاربری ایجاد شده در:"
"Account Information","اطلاعات حساب کاربری"
"Account Status","وضعیت حساب"
"Action","اقدام"
"Actions","کنش‌ها"
"Active","فعال"
"Add","اضافه کردن"
"Add New","افزودن جدید"
"Add New Block","افزودن بلوک جدید"
"Add New Image","افزودن تصویر جدید"
"Add New Role","افزودن نقش جدید"
"Add New Template","افزودن قالب جدید"
"Add New URL Rewrite","افزودن بازنویسی URL جدید"
"Add New User","افزودن کاربر جدید"
"Add New Variable","افزودن متغیر جدید"
"Add Products","افزودن محصولات"
"Add URL Rewrite","افزودن بازنویسی URL"
"Add URL Rewrite for a Category","افزودن بازنویسی URL برای یک رده"
"Add URL Rewrite for a Product","افزودن بازنویسی URL برای یک محصول"
"Add after","افزودن پس از"
"Additional Cache Management","مدیریت حافظه نهان بیشتر"
"Admin","مدير"
"All","همه"
"All Allowed Countries","همه کشورها مجاز"
"All Cache","همه‌ حافظه نهان"
"All Files","همه‌ فایل‌ ها"
"All Reviews","همه‌ی نظرات"
"All Store Views","همه‌ی نماهای فروشگاه"
"All Websites","همه‌ی وب‌سایت‌ها"
"All countries","همه‌ کشورها"
"All valid rates have been saved.","همه‌ نرخ‌ های تبدیل معتبر ذخیره شدند."
"Always (during development)","همیشه (در طول توسعه)"
"Amounts","مبالغ"
"An error occurred while clearing the JavaScript/CSS cache.","خطایی در هنگام پاک سازی حافظه نهان JavaScript/CSS رخ داد."
"An error occurred while clearing the image cache.","خطایی در هنگام پاک سازی حافظه نهان تصویر رخ داد."
"An error occurred while deleting this role.","یک خطا در حین حذف این وظیفه رخ داد."
"An error occurred while saving account.","خطایی در هنگام ذخیره حساب کاربری رخ داد."
"An error occurred while saving this role.","خطایی در هنگام ذخیره این نقش رخ داده است."
"Any","هرکدام"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Assigned","اختصاص یافته"
"Attributes","ویژگی‌ ها"
"Authorize","احراز هویت"
"Automatic (equalize price ranges)","به صورت خودکار (برابر با محدوده های قیمت)"
"Automatic (equalize product counts)","به صورت خودکار (برابر با تعداد محصول)"
"Back","بازگشت"
"Backup","پشتیبان"
"Backup Name","نام پشتيبان"
"Backup options","گزینه های پشتیبان گیری"
"Backups","پشتیبان ها"
"Base currency","ارز مرجع"
"Bestsellers","پرفروش‌ها"
"Billing Address","آدرس صورتحساب"
"Billing Address: ","آدرس صورت حساب: "
"Billing Agreement","قرارداد صدور صورت حساب"
"Billing Agreements","قراردادهای صورت حساب"
"Block Information","اطلاعات بلاک"
"Blocks","بلوک ها"
"Both (without and with tax)","هر دو (بدون و با مالیات)"
"Browse Files...","مرور فایل های ..."
"By Email","توسط ایمیل"
"By IP","توسط آی پی"
