"Alert Email Sender","فرستنده ایمیل هشدار"
"Alert subscription has been saved.","هشدار اشتراک ذخیره شد."
"Allow Alert When Product Comes Back in Stock","هنگامی که محصول موجود شد هشدار بده"
"Allow Alert When Product Price Changes","هنگامی که قیمت محصول تغییر کرد هشدار بده"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"Frequency","میزان تکرار"
"Price Alert Email Template","قالب ایمیل هشدار قیمت"
"Price:","قیمت:"
"Product Alerts","هشدارهای محصول"
"Product Alerts Run Settings","تنظیمات اجرای هشدارهای محصول"
"Product alerts Cron error","خطای Cron هشدارهای محصول"
"Start Time","زمان شروع"
"Stock Alert Email Template","قالب ایمیل هشدار موجودی"
"The product was not found.","محصول یافت نشد."
"Unable to update the alert subscription.","به روز رسانی هشدار اشتراک ناموفق بود."
"Unsubscribe from all price alerts","لغو اشتراک از همه‌ هشدارهای قیمت"
"Unsubscribe from all stock alerts","لغو اشتراک از همه‌ هشدارهای موجودی"
"You will no longer receive price alerts for this product.","شما دیگر هشدار قیمت برای این محصول دریافت نخواهید کرد."
"You will no longer receive stock alerts for this product.","شما دیگر هشدار موجودی برای این محصول دریافت نخواهید کرد."
"You will no longer receive stock alerts.","شما دیگر هشدار موجودی دریافت نخواهید کرد."
