"Add","اضافه کردن"
"Allow Gift Messages for Order Items","پیغام‌ های هدیه برای موارد سفارش مجاز هستند"
"Allow Gift Messages on Order Level","پیغام‌ های هدیه در سطح سفارش مجاز هستند"
"Are you sure?","شما اطمینان دارید؟"
"Cancel","لغو"
"Do you have any gift items in your order?","آیا هدیه ای در سفارش خود دارید؟"
"Edit","ويرايش"
"From","از"
"Gift Message","پيغام هديه"
"Gift Options","گزینه های هدیه"
"Gift Options for Individual Items","گزینه های هدیه برای هر یک از موارد"
"Message","پیام"
"No","خیر"
"OK","قبول"
"Save Gift Message","ذخیره‌ی پیام هدیه"
"To","به"
"Unknown entity type","نوع ورودی ناشناس"
"Use config","استفاده از پیکربندی"
"Yes","بله"
