"Action","اقدام"
"Are you sure you want to delete the selected backup(s)?","آيا مطمئن هستيد كه مي خواهيد نسخه پشتيبان(ها) را حذف كنيد؟"
"Backups","پشتیبان ها"
"Create Backup","ايجاد پشتيبان"
"Database","پایگاه داده"
"Database Backup","پشتيبان گيري پايگاه داده"
"Database and Media","پايگاه داده و رسانه"
"Database and Media Backup","پشتيبان پايگاه داده و رسانه"
"Download","دانلود"
"Enable Scheduled Backup","تهيه نسخه پشتيبان برنامه ريزی شده را فعال کنيد"
"Frequency","میزان تکرار"
"Maintenance Mode","حالت تعمیر و نگهداری"
"Name","نام"
"Rollback","عقبگرد"
"Start Time","زمان شروع"
"System","سيستم"
"System (excluding Media)","سیستم (به جز رسانه)"
"System Backup","پشتیبان سیستم"
"Time","زمان"
"Type","نوع"
