"Actions","کنش‌ها"
"Are you sure?","شما اطمینان دارید؟"
"Date Added","تاریخ اضافه شدن"
"Last Update","آخرین به روز رسانی"
"Mark as Read","خوانده شده"
"Message","پیام"
"Messages Inbox","صندوق پیغام‌های دریافتی"
"Notifications","اطلاعیه‌ها"
"Please select messages.","لطفا پیغام‌ها را انتخاب کنید."
"Read Details","خواندن جزئیات"
"Remove","برداشتن"
"Severity","شدت"
"Show List","نمایش لیست"
"Show Toolbar","نمایش نوار ابزار"
"The message has been removed.","پیغام حذف شد."
"Update Frequency","تکرار به روز رسانی"
"Use HTTPS to Get Feed","استفاده از HTTPS برای دریافت فید"
"Wrong message type","نوع پيغام نادرست است"
"critical","بحرانی"
"major","اصلي"
"minor","جزئی"
"notice","اطلاعیه"
