"Action","اقدام"
"Add","اضافه کردن"
"Add to Cart","اضافه کردن به سبد خرید"
"Add to Wishlist","اضافه کردن به فهرست علاقمندیها"
"Approved","تائید شد"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Are you sure?","شما اطمینان دارید؟"
"Back","بازگشت"
"Block Information","اطلاعات بلاک"
"Change status","تغییر وضعیت"
"Country","كشور"
"Customer Since","مشتری از زمان"
"Customers","مشتریان"
"Delete","حذف"
"Disabled","غير فعال"
"Email","ايميل"
"First Name","نام"
"General Information","اطلاعات عمومی"
"Grid","مشبک"
"ID","شناسه"
"Last Name","نام خانوادگی"
"List","لیست"
"Name","نام"
"Pending","انتظار"
"Price","قيمت"
"Product Name","نام محصول"
"Products","محصولات"
"Remove","برداشتن"
"SKU","کد محصول"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Status","وضعيت"
"Store View","نمای فروشگاه"
"Tags","برچسب ها"
"Update","به روز رسانی"
"ZIP/Post Code","کد پستی"
"[STORE VIEW]","[مشاهده فروشگاه]"
