"-- Please Select --","-- لطفا انتخاب کنيد --"
"Attribute Code","کد ویژگی"
"Attribute Label","برچسب ویژگی"
"Begin data validation","اعتبار سنجی داده ها را آغاز کنید"
"Cannot get autoincrement value","نمی توان مقدار را به صورت خودکار افزایش داد"
"Check Data","بررسی داده"
"Customers","مشتریان"
"Delete Entities","حذف ورودی ها"
"Destination file is not writable","فايل مقصد قابل ویرایش نيست"
"Entity Type","نوع موجودیت"
"Entity is unknown","ورودی ناشناس است"
"Export","خروجی گرفتن"
"Export File Format","فرمت فایل خروجی گرفتن"
"Export Settings","تنظیمات صدور"
"File is valid! To start import process press ""Import"" button","فايل معتبر است! براي شروع روند وارد کردن روی ""وارد کردن"" کلیک کنید"
"Filter","فیلتر"
"From","از"
"Import","وارد کردن"
"Import Behavior","رفتار ورود"
"Import Settings","تنظیمات ورود"
"Import/Export","وارد کردن/ خروجی گرفتن"
"No valid data sent","بدون داده هاي معتبر فرستاده شده"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","لطفا خطاها را رفع کنید و فایل را دوباره آپلود کنید یا فقط دکمه «وارد کردن» را فشار دهید تا سطرهای حاوی خطا رد شوند"
"Products","محصولات"
"Select File to Import","انتخاب فایل برای وارد کردن"
"Status","وضعيت"
"There are no product types available for export","هيچ نوع محصولی براي صادرات وجود ندارد"
"To","به"
"Unknown attribute filter type","نوع فیلتر ویژگی ناشناس"
