"Add","اضافه کردن"
"Add New Row","افزودن سطر جدید"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","عدد و الفبایی، فاصله و زیرخط کاراکتر برای نام پرونده ها توصیه می شود. شخصیت های نامناسب با '_' جایگزین می شود."
"Availability:","موجودی:"
"Back","بازگشت"
"Canceled","لغو شده"
"Date","تاریخ"
"Default Link Title","عنوان لینک پیش فرض"
"Default Maximum Number of Downloads","حداکثر تعداد دانلودهای پیش فرض"
"Default Sample Title","عنوان نمونه پیش فرض"
"Delete","حذف"
"Disable Guest Checkout if Cart Contains Downloadable Items","اگر سبد خرید شامل محصولات قابل دانلود بود، پرداخت نهایی به عنوان مهمان را غیرفعال کن"
"Downloadable Information","اطلاعات قابل دانلود"
"Downloadable Product Options","گزینه‌ های محصول قابل دانلود"
"Downloadable Product Section","بخش محصول قابل دانلود"
"Edit","ويرايش"
"Edit item parameters","ویرایش پارامترهای محصول"
"Excl. Tax","بدون مالیات"
"File","فایل"
"From:","از:"
"Gift Message","پيغام هديه"
"Guest checkout will only work with shareable.","پرداخت نهایی مهمان تنها با shareable کار خواهد کرد."
"In stock","موجود"
"Incl. Tax","با مالیات"
"Invalid download link type.","نوع لینک دانلود نامعتبر است."
"Invoiced","فاکتور شده"
"Links can be purchased separately","لینک‌ ها می‌ توانند جداگانه خریداری شوند"
"List","لیست"
"Max. Downloads","حداکثر دانلودها"
"Message:","پیغام:"
"Move","انتقال"
"My Downloadable Products","محصولات قابل دانلود من"
"Open Links in New Window","بازکردن لینک‌ ها در پنجره‌ جدید"
"Order #","سفارش #"
"Order Item Status to Enable Downloads","تغییر وضعیت محصول سفارش داده شده به فعالسازی دانلودها"
"Order id cannot be null","شناسه سفارش نمی تواند خالی باشد"
"Order item id cannot be null","شناسه سفارش محصول نمی تواند خالی باشد"
"Ordered","سفارش داده شده"
"Out of stock","در انبار موجود نیست"
"Pending","انتظار"
"Please set resource file and link type.","لطفا فایل منبع و نوع لینک را تنظیم نمایید."
"Please specify product link(s).","لطفا لینک(های) محصول را مشخص نمایید."
"Price","قيمت"
"Qty","تعداد"
"Refunded","مسترد"
"Remaining Downloads","دانلودهای باقی مانده"
"Remove","برداشتن"
"Remove Item","برداشتن آیتم"
"SKU","کد محصول"
"Sample","نمونه"
"See price before order confirmation.","قبل از تأیید سفارش، قیمت را مشاهده کنید."
"Shareable","قابل تسهیم"
"Shipped","ارسال شده"
"Sorry, there was an error getting requested content. Please contact the store owner.","با عرض پوزش، خطایی در گرفتن محتوای درخواستی وجود دارد. لطفا با مالک فروشگاه تماس بگیرید."
"Sort Order","ترتيب سفارش"
"Start Download","شروع دانلود"
"Status","وضعيت"
"Subtotal","جمع جز"
"The link has expired.","لینک منقضی شده است."
"The link is not available.","لینک در دسترس نیست."
"Title","عنوان"
"To:","به:"
"Unlimited","نامحدود"
"Update","به روز رسانی"
"Use Content-Disposition","استفاده از تغییر محتوا"
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"View Order","مشاهده‌ی سفارش"
"What's this?","این چیست؟"
"You have not purchased any downloadable products yet.","شما هنوز هیچ محصول قابل دانلودی نخریده‌ اید."
"attachment","پیوست"
"download","دانلود"
"inline","خط به خط"
"sample","نمونه"
