"Add New Rating","افزودن امتیاز جدید"
"Assigned Options","گزینه‌های اختصاص یافته"
"Be the first to review this product","برای نظر دادن به این محصول اولین باشید"
"Default Value","مقدار پیش فرض"
"Delete Rating","حذف امتیاز"
"ID","شناسه"
"New Rating","امتیاز جدید"
"Option Title","عنوان گزینه"
"Option Title:","عنوان گزینه:"
"Rating Information","اطلاعات امتیاز"
"Rating Title","عنوان امتیاز"
"Rating Visibility","پدیداری امتیاز"
"Rating isn't Available","امتیاز در دسترس نیست"
"Save Rating","ذخیره‌ی امتیاز"
"Sort Order","ترتيب سفارش"
