"10 minutes","۱۰ دقیقه"
"15 minutes","۱۵ دقیقه"
"20 minutes","۲۰ دقیقه"
"30 minutes","۳۰ دقیقه"
"5 minutes","۵ دقیقه"
"Daily","روزانه"
"Failure History Lifetime","طول عمر تاریخچه شکست"
"Generate Schedules Every","تولید زمانبندی برای هر"
"History Cleanup Every","پاک سازی تاریخچه هر"
"Hourly","ساعتی"
"Minute Intervals","فواصل دقیقه"
"Missed if Not Run Within","اگر در این بازه اجرا نشود از بین می رود"
"Monthly","ماهیانه"
"Schedule Ahead for","پیش زمانبندی برای"
"Success History Lifetime","طول عمر تاریخچه موفقیت"
"Unable to delete the cron task.","قادر به حذف کار cron نیست."
"Weekly","هفتگی"
