"All Websites","همه‌ی وب‌سایت‌ها"
"Display Prices In Emails","نمایش قیمت ها در فروش ماژول"
"Display Prices In Product Lists","نمایش قیمت ها در لیست محصولات"
"Display Prices In Sales Modules","نمایش قیمت در ایمیل"
"Display Prices On Product View Page","فعال کردن FPT"
"Enable FPT","FPT ممکن"
"Excluding FPT","بدون FPT"
"Fixed Product Tax","مالیات بر محصولات ثابت"
"Fixed Product Taxes","مالیات های محصول ثابت"
"Include FPT In Subtotal","اعمال مالیات برای FPT"
"Including FPT and FPT description","شامل FPT و توصیف FPT"
"Including FPT only","شامل FPT تنها"
"Total","مجموع"
"Total Incl. Tax","مجموع با مالیات"
"Total:","مجموع:"
