"Add Your Review","افزودن نظرتان"
"Administrator","مدیریت"
"All Reviews","همه‌ی نظرات"
"Allow Guests to Write Reviews","به مهمانان برای نوشتن نظرات اجازه بده"
"Approved","تائید شد"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Are you sure?","شما اطمینان دارید؟"
"Average Customer Rating","میانگین امتیاز مشتری"
"Average Customer Rating:","میانگین امتیاز مشتری:"
"Back","بازگشت"
"Back to Main Product Info","بازگشت به اطلاعات محصول اصلی"
"Back to My Reviews","بازگشت به نظرات من"
"Back to Product Reviews","بازگشت به نظرات محصول"
"Be the first to review this product","برای نظر دادن به این محصول اولین باشید"
"Created On","ایجاد شده در"
"Customer","مشتری"
"Customer Reviews","نظرات مشتری"
"Customers Reviews","نظرات مشتریان"
"Delete","حذف"
"Delete Review","حذف نظر"
"Detailed Rating","امتیاز به تفصیل"
"Guest","مهمان"
"ID","شناسه"
"My Product Reviews","نظرات محصول من"
"My Recent Reviews","نظرات اخیر من"
"Name","نام"
"New Review","نظر جدید"
"Nickname","لقب"
"Not Approved","تائید نشده"
"Pending","انتظار"
"Pending Reviews","نظرات در انتظار"
"Price","قيمت"
"Product","محصول"
"Product Name","نام محصول"
"Product Rating","امتیاز محصول"
"Product Rating:","امتیاز محصول:"
"Product Reviews","نظرات محصول"
"Products Reviews","نظرات محصولات"
"Qty","تعداد"
"Review","مرور"
"Review Details","جزییات نظر"
"Reviews","نظرات"
"SKU","کد محصول"
"Save Review","ذخیره‌ی نظر"
"Status","وضعيت"
"Submit Review","ارایه نظر"
"Summary Rating","خلاصه‌ی امتیاز"
"Summary of Review","خلاصه‌ی نظر"
"Title","عنوان"
"Type","نوع"
"Update Status","به روز رسانی وضعیت"
"View Details","مشاهده جزئیات"
"Websites","وب سایت ها"
"Write Your Own Review","نظر خودتان را بنویسید"
"You have submitted no reviews.","شما هیچ نظری ارایه نکرده‌اید."
"You're reviewing:","شما نظر می دهید:"
