"Add Minimum Qty","افزودن حداقل تعداد"
"Allow Qty Below 0","تعداد زیر 0 مجاز است"
"Allow Qty Below 0 and Notify Customer","تعداد زیر 0 را مجاز کنید و به مشتری اطلاع دهید"
"Automatically Return Credit Memo Item to Stock","برگرداندن خودکار محصول برگشتی به موجودی"
"Backorders","سفارش های برگشت داده شده"
"By Fixed value","با مقدار ثابت"
"By Percentage","با درصدی"
"Decrease Stock When Order is Placed","هنگامی که سفارش جدیدی ایجاد شد موجودی را کاهش بده"
"Display Out of Stock Products","نمايش محصولات ناموجود"
"Enable Qty Increments","فعالسازی افزايش تعداد"
"In Stock","موجود"
"Inventory","موجودی"
"Manage Stock","مديريت موجودی"
"Maximum Qty Allowed in Shopping Cart","حداکثر تعداد مجاز در سبد خرید"
"Minimum Qty","حداقل تعداد"
"Minimum Qty Allowed in Shopping Cart","حداقل تعداد مجاز در سبد خريد"
"No Backorders","هیچ سفارش برگشت داده شده ای وجود ندارد"
"Notify for Quantity Below","اخطار برای تعداد کمتر از"
"Only X left Threshold","آستانه تنها X باقی مانده است"
"Out of Stock","این کالا در حال حاضر موجود نیست"
"Product Name","نام محصول"
"Product Stock Options","گزینه‌ های موجودی کالا"
"Products will still be shown by direct product URLs.","محصولات همچنان توسط لینک مستقیم محصول قابل مشاهده هستند."
"Qty","تعداد"
"Qty Increments","افزایش تعداد"
"Rule price","قانون قيمت"
"Set Items' Status to be In Stock When Order is Cancelled","هنگامی که سفارشی لغو شد، وضعیت موجودی را به موجود بودن تغییر بده"
"Stock Options","گزینه‌ های موجودی"
"Stock Status","وضعيت موجودی"
"The stock item for Product in option is not valid.","موجودی این گزینه محصول معتبر نیست."
"To Fixed Value","به مقدار ثابت"
"To Percentage","به درصدی"
"Update","به روز رسانی"
"Update the Product","به روز رسانی محصول"
