"Add","اضافه کردن"
"Add New Role","افزودن نقش جدید"
"Address Type","نوع آدرس"
"Admin","مدير"
"Allow","اجازه دادن"
"Assigned","اختصاص یافته"
"Attribute Set","مجموعه ویژگی"
"Attributes","ویژگی‌ ها"
"Automatically Return Credit Memo Item to Stock","برگرداندن خودکار محصول برگشتی به موجودی"
"Back","بازگشت"
"Backorders","سفارش های برگشت داده شده"
"Base Currency","ارز مرجع"
"Catalog","فهرست"
"Category ID","شناسه دسته بندی"
"City","شهر"
"Company","شركت"
"Country","كشور"
"Coupon Code","کد کوپن"
"Create","ایجاد"
"Create Permanent Redirect for old URL","ايجاد تغيير مسير دائمی برای URL قديمی"
"Customer","مشتری"
"Customer Address","آدرس مشتری"
"Customer First Name","نام کوچک مشتری"
"Customer ID","شناسه مشتری"
"Customer Last Name","نام خانوادگي مشتري"
"Delete","حذف"
"Deny","رد کردن"
"Discount","تخفيف"
"Discount Amount","مبلغ تخفیف"
"Edit","ويرايش"
"Edit Role","ویرایش نقش"
"Email","ايميل"
"Enable Qty Increments","فعالسازی افزايش تعداد"
"Exclude","استثنا"
"File Name","نام فايل"
"First Name","نام"
"Gift Message","پيغام هديه"
"Grand Total","جمع کل نهایی"
"Grand Total to Be Charged","مجموع هزینه شده"
"Group","گروه"
"Guest","مهمان"
"ID","شناسه"
"Label","برچسب"
"Last Name","نام خانوادگی"
"Manage Stock","مديريت موجودی"
"Maximum Qty Allowed in Shopping Cart","حداکثر تعداد مجاز در سبد خرید"
"Minimum Qty Allowed in Shopping Cart","حداقل تعداد مجاز در سبد خريد"
"New Role","وظيفه جديد"
"Notify for Quantity Below","اخطار برای تعداد کمتر از"
"Order","سفارش"
"Order Comments","توضیحات سفارش"
"Order Date","تاريخ سفارش"
"Order ID","شناسه سفارش"
"Order Status","وضعيت سفارش"
"Orders","سفارشات"
"Original Price","قيمت اصلي"
"Payment Method","روش پرداخت"
"Phone Number","شماره تلفن"
"Placed from IP","از IP قرار داده شده"
"Position","موقعيت"
"Price","قيمت"
"Product","محصول"
"Product ID","شناسه محصول"
"Qty","تعداد"
"Qty Increments","افزایش تعداد"
"Qty Uses Decimals","مقدار تعداد از اعشار استفاده می کند"
"Role Info","اطلاعات وظیفه"
"Role Information","اطلاعات نقش"
"Role Name","نام نقش"
"Role Users","کاربران وظیفه"
"Roles","وظايف"
"SKU","کد محصول"
"Sales","حراجی ها"
"Save","ذخيره"
"Shipping Amount","مبلغ ارسال"
"Shipping Method","روش ارسال"
"State","استان"
"Stock Availability","دسترسي موجودی"
"Stock Status","وضعيت موجودی"
"Store Name","نام فروشگاه"
"Subtotal","جمع جز"
"System","سيستم"
"Tax Amount","مبلغ مالیات"
"Tax Percent","درصد ماليات"
"Tax Rate","نرخ ماليات"
"Total Due","مجموع بدهی"
"Total Paid","مجموع پرداخت شده"
"Total Refunded","مجموع مسترد شده"
"Type","نوع"
"Update","به روز رسانی"
"ZIP/Postal Code","کد پستی"
