" Copy"," کپی"
"Action","اقدام"
"Add New Template","افزودن قالب جدید"
"Add to Queue","افزودن به صف"
"Allow Guest Subscription","اجازه‌ اشتراک به مهمان"
"Are you sure that you want to strip all tags?","آیا مطمئن هستید که می خواهید همه برچسب ها را خالی کنید؟"
"Back","بازگشت"
"Cancel","لغو"
"Cancelled","لغو شده"
"Confirmation Email Sender","فرستنده‌ ایمیل تآییدیه"
"Confirmation Email Template","قالب ایمیل تآییدیه"
"Convert to Plain Text","تبدیل به متن ساده"
"Create Newsletter Template","ایجاد قالب خبرنامه"
"Customer","مشتری"
"Customer First Name","نام کوچک مشتری"
"Customer Last Name","نام خانوادگي مشتري"
"Date Added","تاریخ اضافه شدن"
"Delete","حذف"
"Delete Selected Problems","حذف مشکلات انتخاب شده"
"Delete Template","حذف قالب"
"Do you really want to cancel the queue?","شما واقعا می‌خواهید صف را لغو کنید؟"
"Edit Newsletter","ویرایش خبرنامه"
"Edit Newsletter Template","ویرایش قالب خبرنامه"
"Edit Queue","ویرایش صف"
"Edit Template","ویرایش قالب"
"Email","ايميل"
"Enter your email address","آدرس ایمیلتان را وارد نمایید"
"Error Code","کد خطا"
"Error Text","متن خطا"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","برای لغو اشتراک این لینک را دنبال کنید <!-- این برچسب برای لینک لغو اشتراک است  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","مهمان"
"ID","شناسه"
"Message","پیام"
"Need to Confirm","نیازمند تآیید"
"New Newsletter Template","قالب خبرنامه‌ جدید"
"New Template","قالب جدید"
"Newsletter","خبرنامه"
"Newsletter Message Preview","پیش نمایش پیغام خبرنامه"
"Newsletter Problem Reports","گزارشات مشکل خبرنامه"
"Newsletter Queue","صف خبرنامه"
"Newsletter Styles","سبک های خبرنامه"
"Newsletter Subscribers","مشترکین خبرنامه"
"Newsletter Subscription","اشتراک خبرنامه"
"Newsletter Subscriptions","اشتراک‌ های خبرنامه"
"Newsletter Templates","قالب‌ های خبرنامه"
"Newsletter subscription confirmation","تأییدیه‌ اشتراک خبرنامه"
"Newsletter subscription success","اشتراک خبرنامه با موفقیت انجام شد"
"Newsletter unsubscription success","لغو اشتراک خبرنامه با موفقیت انجام شد"
"No Templates Found","قالبی یافت نشد"
"Not Activated","فعال نشده"
"Not Sent","ارسال نشد"
"Pause","توقف"
"Paused","متوقف شد"
"Please enter a valid email address.","لطفا یک آدرس ایمیل معتبر وارد نمایید."
"Preview","پيش نمايش"
"Preview Template","پیش نمایش قالب"
"Processed","پردازش شده"
"Queue Date Start","تاریخ شروع صف"
"Queue Information","اطلاعات صف"
"Queue Start","شروع صف"
"Queue Subject","موضوع صف"
"Recipients","گیرندگان"
"Reset","بازنشانی"
"Resume","از سرگیری"
"Return HTML Version","نسخه‌ HTML را برگردان"
"Save As","ذخیره به عنوان"
"Save Newsletter","ذخیره‌ خبرنامه"
"Save Template","ذخیره‌ قالب"
"Save and Resume","ذخیره و از سرگیری"
"Security","امنیت"
"Sender","فرستنده"
"Sender Email","ایمیل فرستنده"
"Sender Name","نام فرستنده"
"Sending","در حال ارسال"
"Sent","ارسال شد"
"Sign Up for Our Newsletter:","ثبت نام برای خبرنامه‌ ما:"
"Start","شروع"
"Status","وضعيت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Subject","موضوع"
"Submit","ارسال"
"Subscribe","اشتراک"
"Subscribed","مشترک شده"
"Subscriber","مشترک"
"Subscribers","مشترکین"
"Subscribers From","فرم مشترکین"
"Subscription Options","گزینه‌ های اشتراک"
"Success Email Sender","فرستنده‌ ایمیل موفق"
"Success Email Template","قالب ایمیل موفق"
"Template Content","محتوای قالب"
"Template Information","اطلاعات قالب"
"Template Name","نام قالب"
"Template Styles","طرح‌ های قالب"
"Template Subject","موضوع قالب"
"Template Type","نوع قالب"
"Thank you for your subscription.","از شما برای اشتراک‌ در خبرنامه سپاسگزاریم."
"This email address is already assigned to another user.","این آدرس ایمیل در حال حاضر به یک کاربر دیگر اختصاص داده شده است."
"Type","نوع"
"Unconfirmed","تأیید نشده"
"Unsubscribe","لغو اشتراک"
"Unsubscribe Selected","لغو اشتراک انتخاب شده"
"Unsubscribed","لغو اشتراک شده"
"Unsubscription Email Sender","لغو اشتراک فرستنده‌ ایمیل"
"Unsubscription Email Template","لغو اشتراک قالب ایمیل"
"View Newsletter","نمایش خبرنامه"
"Website","وب سایت"
"Your subscription has been confirmed.","اشتراک شما تأیید شده است."
