"-- Please Select --","-- لطفا انتخاب کنيد --"
"Add Secret Key to URLs","افزودن کلید رمز به URL ها"
"Add Store Code to Urls","افزودن کد فروشگاه به Url ها"
"Admin","مدير"
"Admin Base URL","URL مدیر پایگاه"
"Admin User Emails","ایمیل‌ های کاربران مدیر"
"Advanced","پیشرفته"
"Allow Countries","مجاز کردن کشورها"
"Allow Symlinks","Symlinks مجاز است"
"Allowed IPs (comma separated)","IPهای مجاز (جدا شده با کاما)"
"Anchor Text for Next","متن مرجع برای بعدی"
"Anchor Text for Previous","متن مرجع برای قبلی"
"Are you sure?","شما اطمینان دارید؟"
"Auto-redirect to Base URL","تغيير مسير خودكار به URL پایه"
"Back","بازگشت"
"Backup Options","گزینه های پشتیبان گیری"
"Base Link URL","URL لینک پایه"
"Base URL","URL مبنا"
"Browser Capabilities Detection","تشخیص قابلیت‌ های مرورگر"
"CSS Settings","تنظیمات CSS"
"Cache Storage Management","مدیریت حافظه نهان"
"Cancel","لغو"
"Card type does not match credit card number.","نوع کارت با شماره کارت اعتباری مطابقت ندارد."
"Code","کد"
"Cookie Domain","دامنه کوکی"
"Cookie Lifetime","طول عمر کوکی"
"Cookie Path","مسیر کوکی"
"Cookie Restriction Mode","حالت محدوديت كوكی"
"Copyright","حق نشر"
"Country","كشور"
"Create Store","ایجاد فروشگاه"
"Create Store View","ایجاد نمای فروشگاه"
"Create Website","ایجاد وب‌ سایت"
"Credit card number does not match credit card type.","شماره کارت اعتباری، نوع کارت اعتباری مطابقت ندارد."
"Custom Admin Path","مسیر دلخواه مدیریت"
"Custom Admin URL","URL مدیریت سفارشی"
"Custom Design","طراحی سفارشی"
"Custom Email 1","ایمیل سفارشی 1"
"Custom Email 2","ایمیل سفارشی 2"
"Custom Variables","متغیرهای سفارشی"
"Customer Support","پشتیبانی مشتری"
"Dashboard","داشبورد"
"Date From","از تاریخ"
"Date To","تا تاریخ"
"Debug","اشکال زدايي کردن"
"Default","پیش فرض"
"Default Country","کشور پیش فرض"
"Default No-route URL","URL بی مسیر پیش فرض"
"Default Pages","صفحات پیش فرض"
"Default Robots","روبوت‌های پیش فرض"
"Default Store","فروشگاه پیش فرض"
"Default Store View","نمای فروشگاه پیش فرض"
"Default Title","عنوان پیش فرض"
"Default Web URL","آدرس وب پیش فرض"
"Delete","حذف"
"Delete Store","حذف فروشگاه"
"Delete Store View","حذف نمای فروشگاه"
"Design","طراحی"
"Design Change","تغییر طراحی"
"Developer","توسعه‌ دهنده"
"Developer Client Restrictions","محدودیت‌ های کاربر توسعه دهنده"
"Disable Email Communications","غیر فعال کردن ارتباطات ایمیلی"
"Disable Modules Output","غیرفعال کردن خروجی ماژول‌ ها"
"Display Demo Store Notice","نمایش اخطار نمونه‌ی نمایشی فروشگاه"
"Duplicate Of Template Name","ایجاد نسخه تکراری از نام قالب"
"Edit Design Change","ویرایش تغییر طراحی"
"Edit Store","ویرایش فروشگاه"
"Edit Store View","ویرایش نمای فروشگاه"
"Enable Charts","فعال کردن نمودارها"
"Enabled","فعال"
