"(Excl. Tax)","(بدون مالیات)"
"(Incl. Tax)","(شامل مالیات)"
"* Required Fields","* زمينه هاي مورد نياز"
"Add New Address","افزودن آدرس جدید"
"Add New Condition","افزودن شرط جدید"
"Add to Cart","اضافه کردن به سبد خرید"
"Add to Compare","افزودن به مقایسه"
"Add to Wishlist","اضافه کردن به فهرست علاقمندیها"
"Address","آدرس"
"After Adding a Product Redirect to Shopping Cart","پس از افزودن محصول به سبد خرید برو"
"Allow Guest Checkout","به کاربر مهمان اجازه پرداخت نهایی بده"
"Apply","اعمال"
"Apply Coupon","اعمال کوپن"
"Are you sure you would like to remove this item from the shopping cart?","شما مطمئن‌اید که به برداشتن این آیتم از سبد خرید مایلید؟"
"Back","بازگشت"
"Back to Billing Information","بازگشت به اطلاعات صورتحساب"
"Back to Select Addresses","بازگشت به انتخاب آدرس‌ ها"
"Back to Shipping Information","بازگشت به اطلاعات ارسال"
"Back to Shopping Cart","بازگشت به سبد خرید"
"Billing Address","آدرس صورتحساب"
"Billing Information","اطلاعات صورت حساب"
"Cancel","لغو"
"Cancel Coupon","لغو کوپن"
"Cannot process the item.","نمی توان این مورد را پردازش کرد."
"Card Verification Number Visual Reference","ارجاع دیداری CVV2"
"Change","تغییر"
"Change Billing Address","تغییر آدرس صورتحساب"
"Checkbox Text","متن چک باکس"
"Checkout","پرداخت نهایی"
"Checkout Conditions","شرایط پرداخت نهایی"
"Checkout Options","گزینه‌های پرداخت"
"Checkout Terms and Conditions","شرایط و ضوابط پرداخت"
"City","شهر"
"Clear Shopping Cart","پاک کردن سبد خرید"
"Close","بستن"
"Company","شركت"
"Condition Name","نام شرط"
"Configurable Product Image","تصویر محصول قابل پیکربندی"
"Confirm Password","تأیید کلمه عبور"
"Content","محتوا"
"Content Height","ارتفاع محتوا"
"Content Height (css)","ارتفاع محتوا (css)"
"Continue","ادامه"
"Continue Shopping","ادامه خرید"
"Continue to Billing Information","ادامه اطلاعات صورتحساب"
"Country","كشور"
"Create Billing Address","ایجاد آدرس صورتحساب"
"Create Shipping Address","ایجاد آدرس ارسال"
"Customer Information","اطلاعات مشتری"
"Data saving problem","مشکل ذخیره سازی داده"
"Default Billing","صورتحساب پیش فرض"
"Default Shipping","ارسال پیش فرض"
"Delete Condition","حذف شرط"
"Details","جزئیات"
