"* Required Fields","* Campos obrigatorios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Panel da conta"
"Account Information","Información de conta"
"Account Sharing Options","Opcións para compartir a conta"
"Action","Acción"
"Add New Address","Engadir un novo enderezo"
"Add New Customer","Engadir un novo cliente"
"Add New Customer Group","Engadir un novo grupo de clientes"
"Added From","Engadido de"
"Additional Address Entries","Entradas de enderezos adicionais"
"Address","Enderezo"
"Address Book","Axenda de enderezos"
"Address Information","Información de enderezo"
"Addresses","Enderezos"
"All","Todos"
"All Store Views","Todas as visualizacións da tenda"
"All countries","Todos os países"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","Está vostede seguro de que quere eliminar este elemento?"
"Are you sure you want to cancel adding of this address?","Está vostede seguro de que quere cancelar a adición deste enderezo?"
"Are you sure you want to delete this address?","Está vostede seguro de que quere eliminar este enderezo?"
"Are you sure?","Está vostede seguro?"
"Average Sale","Media de venda"
"Back","Volver"
"Back to Login","Volver a inicio de sesión"
"Bad request.","Solicitude incorrecta"
"Bill to Name","Facturar a nome"
"Bought From","Comprado en"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao crear unha conta coa nosa tenda, vostede poderá moverse con maior rapidez a través dos procesos de confirmación de pedido, almacenar múltiples enderezos de envío, ver e seguir os seus pedidos na súa conta e moitas máis opcións."
"Cancel","Cancelar"
"Change Account Password","Cambiar o contrasinal da conta"
"Change Billing Address","Cambiar o enderezo de facturación"
"Change Password","Cambiar o contrasinal"
"Change Shipping Address","Cambiar o enderezo de envío"
"City","Cidade"
"Company","Empresa"
"Config","Configurar"
"Confirm New Password","Confirmar o novo contrasinal"
"Confirm Password","Confirmar contrasinal"
"Confirmation Link Email","Correo con ligazón de confirmación"
"Confirmed","Confirmado"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear novas opcións de conta"
"Create New Customer Account","Crear nova conta de cliente"
"Create Order","Crear pedido"
"Create an Account","Crear unha conta"
"Create customer","Crear cliente"
"Create customer address","Crear enderezo de cliente"
"Current Password","Contrasinal actual"
"Customer","Cliente"
"Customer Addresses","Enderezos do cliente"
"Customer Configuration","Configuración de cliente"
"Customer Group","Grupo de cliente"
"Customer Groups","Grupos de clientes"
"Customer Information","Información de cliente"
"Customer Login","Nome de usuario do cliente"
"Customer Since","Cliente desde"
"Customer View","Visualización do cliente"
"Customers","Clientes"
"Customers Only","Só clientes"
"Date","Data"
"Date Added","Data en que se engadiu"
"Date of Birth","Data de nacemento"
"Day","Día"
"Days in Wishlist","Días na lista de desexos"
"Default Addresses","Enderezos predeterminados"
"Default Billing Address","Enderezo de facturación predeterminado"
"Default Email Domain","Dominio de correo predeterminado"
"Default Group","Grupo predeterminado"
"Default Shipping Address","Enderezo de envío predeterminado"
"Default Welcome Email","Correo de benvida predeterminado"
"Delete","Eliminar"
"Delete Address","Eliminar enderezo"
"Delete Customer","Eliminar cliente"
"Delete Customer Group","Eliminar grupo de cliente"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar enderezo de cliente"
"Deleted Stores","Eliminar tendas"
"Details","Detalles"
"Disabled","Desactivado"
"Edit","Editar"
"Edit Account Info","Editar información da conta"
"Edit Account Information","Editar información da conta"
"Edit Address","Editar enderezo"
"Edit Address Entry","Editar entrada de enderezo"
"Edit Customer Group ""%s""","Editar o grupo de cliente ""%s"""
"Edit Customer Groups","Editar grupos de cliente"
"Edit Customer's Address","Editar enderezo do cliente"
"Edit Group","Editar grupo"
"Edit Newsletters","Editar boletín informativo"
"Email","Correo electrónico"
"Email Address","Enderezo de correo electrónico"
"Email Sender","Remitente de Correo electrónico"
"Email:","Correo electrónico:"
"Failed to confirm customer account.","Fallou ao confirmar a conta de cliente."
"First Name","Nome"
"Forgot Email Template","Esqueceu o modelo de correo"
"Forgot Your Password?","Esqueceu o seu contrasinal?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde o seu panel de A miña conta pode ver un resumo das súas actividades máis recentes e actualizar a súa información. Seleccione a ligazón de abaixo para ver ou editar a información."
"General Subscription","Subscrición xeral"
"Group","Grupo"
"Group Information","Información de grupo"
"Group Name","Nome do grupo"
"Guest","Convidado"
"Hello, %s!","Ola, %s!"
"IP Address","Enderezo IP"
"If you have an account with us, please log in.","Se ten unha conta con nós, por favor, inicie sesión."
"Invalid current password","O contrasinal actual non é válido"
"Invalid customer data","Os datos de cliente non son válidos"
"Invalid login or password.","Nome de usuario ou contrasinal incorrectos."
"Last Activity","A última actividade"
"Last Name","Apelido"
"Leave empty for default (15 minutes).","Deixar baleiro por defecto (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixar baleiro por defecto (2). Marxe de valores válidos: 1-4"
"Lifetime Sales","Vendas no tempo de vida"
"Log In","Iniciar a sesión"
"Log Out","Saír da sesión"
"Login","Iniciar sesión"
"Login Information","Información do inicio de sesión"
"Login or Create an Account","Iniciar sesión ou crear unha conta"
"Month","Mes"
"My Account","A miña conta"
"My Dashboard","O meu panel"
"My Orders","Os meus pedidos"
"Name","Nome"
"Name and Address Options","Opcións de nome e enderezo"
"Never","Nunca"
"New Address","Novo enderezo"
"New Address Entry","Entrada de enderezo nova"
"New Customer","Novo cliente"
