"%s's Wishlist","Lista de desexos de %s"
"* Required Fields","* Campos obrigatorios"
"Add All to Cart","Engadir todo ao carriño"
"Add to Cart","Engadir ao carriño"
"Add to Compare","Engadir para comparar"
"Add to Wishlist","Engadir á lista de desexos"
"Added From","Engadido de"
"Are you sure you want to remove this product from your wishlist?","Está vostede seguro de que quere eliminar este produto da súa lista de desexos?"
"Are you sure you would like to remove this item from the wishlist?","Está seguro de que lle gustaría eliminar este elemento da lista de desexos?"
"Back","Volver"
"Can't save description %s","Non se pode gardar a descrición %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Seleccione esta caixa de verificación se quere engadir unha ligazón a un rss para a súa lista de desexos."
"Comment","Comentario"
"Date Added","Data en que se engadiu"
"Days in Wishlist","Días na lista de desexos"
"Edit","Editar"
"Email Sender","Remitente de Correo electrónico"
"Email Template","Modelo de Correo electrónico"
"Email address can't be empty.","O enderezo de correo non pode estar baleiro."
"Email addresses, separated by commas","Os enderezos de correo separados por comas"
"Enabled","Activado"
"General Options","Opcións xerais"
"Go to Wishlist","Ir á lista de desexos"
"In stock","En stock"
"Last Added Items","Últimos elementos engadidos"
"Message","Mensaxe"
"My Wishlist","A Minha Lista de Presentes"
"My Wishlist (%d item)","A miña lista de desexos (%d elemento)"
"My Wishlist (%d items)","A miña lista de desexos (%d elementos)"
"Out of stock","Esgotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, introduza enderezos de correo válidos separados por comas. Por exemplo, exemplo1@exemplo.com, exemplo2@exemplo.com."
"Please, enter your comments...","Por favor, introduza os seus comentarios..."
"Price","Prezo"
"Product","Produto"
"Qty","Ctde"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Ligazón RSS á lista de desexos %s"
"Remove Item","Eliminar o elemento"
"Remove This Item","Eliminar este elemento"
"Remove item","Eliminar o elemento"
"Share Wishlist","Compartir lista de desexos"
"Share Your Wishlist","Compartir a súa lista de desexos"
"Sharing Information","Información de compartir"
"Update Wishlist","Actualizar a lista de desexos"
"View Details","Ver detalles"
"View Product","Ver produto"
"Wishlist","Lista de desexos"
"Wishlist Sharing","Compartir a lista de desexos"
"Wishlist is empty now.","Agora a lista de desexos está baleira."
"You have no items in your wishlist.","Non ten elementos na súa lista de desexos."
