"# of Items (and above)","# de elementos (e superiores)"
"# of Items vs. Destination","# de elementos vs. destino"
"Calculate Handling Fee","Calcular gastos de tramitación"
"Carrier:","Transporte:"
"City","Cidade"
"Close Window","Pechar ventá"
"Condition","Condición"
"Country","País"
"Custom Value","Valor personalizado"
"Date","Data"
"Delivered on:","Entregado en:"
"Delivered to:","Entregado a:"
"Description","Descrición"
"Displayed Error Message","Mensaxe de erro mostrada"
"Enabled","Activado"
"Error:","Erro:"
"Export","Exportar"
"Fixed","Fixo"
"Flat Rate","Taxa fixa"
"Free Shipping","Envío gratuíto"
"Handling Fee","Gasto de tramitación"
"Import","Importar"
"Info:","Información:"
"Invalid Table Rate code for type %s: %s","Código da táboa de tarifa incorrecto para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código de táboa de tarifa incorrecto: %s"
"Invalid Table Rates File Format","Formato de ficheiro de táboa de tarifa incorrecto"
"Local Time","Hora local"
"Location","Localización"
"N/A","N/D"
"None","Ningún"
"Options","Opcións"
"Order Subtotal (and above)","Subtotal de pedido (e superior)"
"Origin","Orixe"
"Per Order","Por pedido"
"Per Package","Por paquete"
"Percent","Porcentaxe"
"Price","Prezo"
"Price vs. Destination","Prezo vs. destino"
"Region/State","Rexión/Estado"
"Service Type:","Tipo de servizo:"
"Shipment #","Envío #"
"Shipped or billed on:","Enviado ou facturado en:"
"Shipping Methods","Métodos de envío"
"Shipping Methods Section","Sección de métodos de envío "
"Shipping Settings","Configuracións de envío"
"Shipping Settings Section","Sección de configuracións de envío"
"Signed by:","Asinado por:"
"Sort Order","Orde de clasificación"
"Status:","Estado:"
"Store Pickup","Recollida en tenda"
"Street Address","Rúa"
"There is no tracking available for this shipment.","Non existe seguimento dispoñible para este envío."
"There is no tracking available.","Non hai seguimento dispoñible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envío non está dispoñible actualmente. Se vostede quere usar este método de envío, por favor, póñase en contacto con nós."
"Title","Título"
"Track:","Rastrexar:"
"Tracking Number:","Número de seguimento:"
"Tracking information is currently not available. Please ","Non está dispoñible a información de seguimento."
"Tracking information is currently unavailable.","Actualmente non está dispoñible a información de seguimento."
"Type","Tipo"
"Weight (and above)","Peso (e superiores)"
"Weight vs. Destination","Peso vs. destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","contacte con nós"
