"* Required Fields","* Campos obrigatorios"
"Add New Address","Engadir un novo enderezo"
"Add New Condition","Engadir un novo estado"
"Add to Cart","Engadir ao carriño"
"Add to Compare","Engadir para comparar"
"Add to Wishlist","Engadir á lista de desexos"
"Address","Enderezo"
"Address %s of %s","Enderezo %s de %s"
"Allow Guest Checkout","Permitir a confirmación de pedido como convidado"
"Already registered?","Xa está rexistrado?"
"An error occurred in the process of payment","Ocorreu un erro no proceso de pago"
"Apply","Aplicar"
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","Está seguro de querer eliminar este elemento do seu carriño da compra?"
"Back","Volver"
"Back to Shipping Information","Volver á información de envío"
"Based on your selection, you may be interested in the following items:","Baseándose na súa selección, podería estar interesado nos seguintes elementos:"
"Billing Address","Enderezo de facturación"
"Billing Information","Información de facturación"
"Billing Information - %s","Información de facturación -%s"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar cupón"
"Card Verification Number Visual Reference","Referencia visual do número de verificación da tarxeta"
"Cart Subtotal:","Subtotal do carriño:"
"Change","Cambiar"
"Change Billing Address","Cambiar o enderezo de facturación"
"Checkout","Confirmación de pedido"
"Checkout Conditions","Condicións de confirmación de pedido"
"Checkout Options","Opcións de confirmación de pedido"
"Checkout Terms and Conditions","Revisar os termos e condicións"
"Checkout as Guest","Confirmación de pedido como convidado"
"Checkout as a Guest or Register","Revisar como persoa usuaria convidada ou rexistrada"
"Checkout with Multiple Addresses","Confirmación de pedido con enderezos múltiples"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Prema aquí para imprimir</a> unha copia da súa confirmación de pedido."
"Close","Pechar"
"Company","Empresa"
"Condition Name","Nome da condición"
"Confirm Password","Confirmar contrasinal"
"Content","Contido"
"Content Height","Altura do contido"
"Content Height (css)","Altura do contido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a información de facturación"
"Continue to Review Your Order","Continuar revisando o seu pedido"
"Continue to Shipping Information","Continuar a información de envío"
"Country","País"
"Coupon code ""%s"" is not valid.","O código do cupón ""%s"" non é válido."
"Create Billing Address","Crear un enderezo de facturación"
"Create Shipping Address","Crear un enderezo de envío"
"Customer Information","Información de cliente"
"Data saving problem","Houbo un problema gardando os datos"
"Default Billing","Factura por defecto"
"Default Shipping","Envío por defecto"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Desactivado"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Amosar o resumo do carriño"
"Display Shopping Cart Sidebar","Amosar a barra lateral do carriño de compra"
"Display item quantities","Amosar as cantidades de elementos"
"Display number of items in cart","Amosar o número de elementos no carriño"
"Easy access to your order history and status","Acceso sinxelo ao seu historial de pedido e estado"
"Edit","Editar"
"Edit Address","Editar enderezo"
"Edit Billing Address","Editar enderezo de facturación"
"Edit Items","Editar elementos"
"Edit Shipping Address","Editar enderezo de envío"
"Edit Terms and Conditions","Editar os termos e condicións"
"Edit Your Cart","Editar o seu carriño"
"Email Address","Enderezo de correo electrónico"
"Enabled","Activado"
"Enter a New Address","Introducir un novo enderezo"
"Enter your coupon code if you have one.","Introduza o código do cupón se dispón dun."
"Enter your destination to get a shipping estimate.","Introduza o seu destino para obter unha estimación de envío."
"Estimate Shipping and Tax","Estimación do envío e de impostos"
"Excl. Tax","Excl. Imposto"
"Fast and easy check out","Confirmación de pedido rápido e sinxelo"
"Forgot an Item?","Esqueceu un elemento?"
"Forgot your password?","Esqueceu o seu contrasinal?"
"Get a Quote","Obter un presuposto"
"Gift Message","Mensaxe de regalo"
"Grand Total:","Suma total:"
"Incl. Tax","Incl. Imposto"
"Invalid shipping method.","Método de Envio inválido"
"Items","Elementos"
"Load customer quote error","Houbo un erro na carga do presuposto do cliente"
"Loading next step...","Cargando o seguinte paso..."
"Login","Iniciar sesión"
"Terms and Conditions","Termos e condicións"
"Maximum qty allowed for Shipping to multiple addresses is %s","A cantidade máxima permitida para o envío a múltiples enderezos é %s"
"Move","Mover"
"Move to Wishlist","Mover á lista de desexos"
"My Cart","O meu carriño"
"My Cart (%s item)","O meu carriño (%s elemento)"
"My Cart (%s items)","O meu carriño (%s elementos)"
"My Cart Link","Ligazón ao meu carriño"
"New Address","Novo enderezo"
"New Condition","Nova condición"
"No Payment Methods","Non hai métodos de pagamento"
"One Page Checkout","Confirmación de pedido dunha páxina"
"Order #","Pedido #"
"Order Review","Repasar pedido"
"Order Success","Pedido correcto"
"Password","Contrasinal"
"Payment Failed Email Reciever","Destinatario do correo electrónico de erros no pagamento"
"Payment Failed Email Sender","Remitente do correo electrónico de erros no pagamento"
"Payment Failed Emails","Correos electrónicos de erros de pagamento"
"Payment Failed Template","Modelo de erros de pagamento"
"Payment Information","Información de pagamento"
"Payment Method","Método de pagamento"
"Payment method is not defined","Non se definiu o método de pagamento"
"Place Order","Facer pedido"
"Please agree to all Terms and Conditions before placing the order.","Acepte todos os termos e condicións antes de realizar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Acepte todos os termos e condicións antes de realizar os pedidos."
"Please choose to register or to checkout as a guest","Escolla rexistrarse ou confirmar o pedido como convidado"
"Please log in below:","Inicie sesión abaixo:"
"Please select region, state or province","Escolla unha provincia, rexión ou estado"
"Please select shipping address for applicable items","Escolla un enderezo de envío para os elementos correspondentes"
"Please select shipping methods for all addresses","Escolla os métodos de envío para todos os enderezos"
"Please specify payment method.","Escolla un método de pago."
"Please specify shipping method.","Escolla un método de envío."
"Price","Prezo"
"Proceed to Checkout","Continuar coa confirmación de pedido"
"Product","Produto"
"Product Name","Nome do produto"
"Products","Produtos"
"Qty","Ctde"
"Qty:","Cantidade:"
"Quantity","Cantidade"
"Quote Lifetime (days)","Tempo de vida da oferta (días)"
"Recently added item(s)","Elemento(s) recentemente engadido(s)"
"Register","Rexistrarse"
"Register and save time!","Rexístrese e aforre tempo!"
"Register to Create an Account","Rexistrarse para crear unha conta"
"Register with us for future convenience:","Rexístrese con nós para futuras oportunidades:"
"Remove Item","Eliminar o elemento"
"Remove This Item","Eliminar este elemento"
"Remove item","Eliminar o elemento"
"Review Order","Revisar pedido"
"Review Order - %s","Revisar pedido - %s"
"Sales","Vendas"
"Save Condition","Gardar condición"
"Save in address book","Gardar na axenda de enderezos"
"Select Address","Escoller enderezo"
"Select Addresses","Escoller enderezos"
"Select Shipping Method","Escoller método de envío"
"Select State/Province...","Escoller provincia/estado..."
"Select a billing address from your address book or enter a new address.","Escolla un enderezo de facturación da súa axenda de enderezos ou introduza un novo."
"Select a shipping address from your address book or enter a new address.","Escolla un enderezo de envío da súa axenda de enderezos ou introduza un novo."
"Send Payment Failed Email Copy Method","Método de copia do correo electrónico de erro no pagamento"
"Send Payment Failed Email Copy To","Enviar unha copia do correo electrónico de erro no pagamento a"
"Ship to Multiple Addresses","Enviar a múltiples enderezos"
"Ship to different address","Enviar a enderezos diferentes"
"Ship to this address","Enviar a este enderezo"
"Shipping Address","Enderezo de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping method has not been selected yet","Aínda non se escolleu o método de envío"
"Shopping Cart","Carriño da compra"
"Shopping Cart Sidebar","Barra lateral do carriño de compra"
"Shopping Cart is Empty","O carriño de compra está baleiro"
"Show Content as","Amosar contido como"
"Sorry, no quotes are available for this order at this time.","Sentímolo, non hai ofertas dispoñibles para este pedido neste momento."
"State/Province","Provincia/Estado"
"Status","Estado"
"Store View","Visualización da tenda"
"Street Address","Rúa"
"Submitting order information...","Entregando información do pedido..."
"Subtotal","Sub-total"
"Telephone","Teléfono"
"Terms and Conditions Information","Información de termos e condicións"
"Terms and conditions","Termos e condicións"
"Text","Texto"
"Thank you for your purchase!","Grazas pola súa compra!"
"There was an error processing your order. Please contact us or try again later.","Houbo un erro procesando o seu pedido. Contacte con nós ou ténteo de novo máis tarde."
"Total for this address","Total para este enderezo"
"Unit Price","Prezo por unidade"
"Update","Actualizar"
"Update Qty &amp; Addresses","Actualizar cantidade e enderezos"
"Update Shopping Cart","Actualizar o carriño de compra"
"Update Total","Actualizar total"
"Use Billing Address","Usar enderezo de facturación"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando o seu pedido e pronto recibirá un correo electrónico cos detalles. Unha vez que o pedido se envíe recibirá outro correo cunha ligazón para rastrexar o proceso."
"You have no items in your shopping cart.","Non ten elementos no seu carriño de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá unha confirmación de pedido cos detalles correspondentes e unha ligazón para rastrexar o proceso."
"Your Checkout Progress","O seu progreso de confirmación de pedido"
"Your order number is ","O seu número de pedido é "
"Zip/Postal Code","Código postal"
