"* Required Fields","* Campos obrigatorios"
"Address","Enderezo"
"Address Information","Información de enderezo"
"Already registered?","Xa está rexistrado?"
"Back","Volver"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao crear unha conta coa nosa tenda, vostede poderá moverse con maior rapidez a través dos procesos de confirmación de pedido, almacenar múltiples enderezos de envío, ver e seguir os seus pedidos na súa conta e moitas máis opcións."
"Checkout as Guest","Confirmación de pedido como convidado"
"Checkout as a Guest or Register","Revisar como persoa usuaria convidada ou rexistrada"
"City","Cidade"
"Close","Pechar"
"Company","Empresa"
"Confirm Password","Confirmar contrasinal"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear unha conta"
"Easy access to your order history and status","Acceso sinxelo ao seu historial de pedido e estado"
"Email Address","Enderezo de correo electrónico"
"Fast and easy check out","Confirmación de pedido rápido e sinxelo"
"Forgot Your Password?","Esqueceu o seu contrasinal?"
"Forgot your password?","Esqueceu o seu contrasinal?"
"General Options","Opcións xerais"
"If you have an account with us, please log in.","Se ten unha conta con nós, por favor, inicie sesión."
"Loading next step...","Cargando o seguinte paso..."
"Login","Iniciar sesión"
"Login Information","Información do inicio de sesión"
"Login or Create an Account","Iniciar sesión ou crear unha conta"
"New Customers","Novos clientes"
"Password","Contrasinal"
"Personal Information","Información persoal"
"Please log in below:","Inicie sesión abaixo:"
"Please select region, state or province","Escolla unha provincia, rexión ou estado"
"Register","Rexistrarse"
"Register and save time!","Rexístrese e aforre tempo!"
"Register to Create an Account","Rexistrarse para crear unha conta"
"Register with us for future convenience:","Rexístrese con nós para futuras oportunidades:"
"Registered Customers","Clientes rexistrados"
"Save in address book","Gardar na axenda de enderezos"
"Select State/Province...","Escoller provincia/estado..."
"Select a billing address from your address book or enter a new address.","Escolla un enderezo de facturación da súa axenda de enderezos ou introduza un novo."
"Ship to different address","Enviar a enderezos diferentes"
"Ship to this address","Enviar a este enderezo"
"Sign Up for Newsletter","Subscribirse ao boletín informativo"
"State/Province","Provincia/Estado"
"Street Address","Rúa"
"Submit","Enviar"
"Telephone","Teléfono"
"Welcome, %s!","Benvido, %s!"
"Zip/Postal Code","Código postal"
