" Copy","Copiar"
"Action","Acción"
"Add New Template","Engadir modelo novo"
"Add to Queue","Engadir á fila"
"Are you sure that you want to delete this template?","Está seguro de que quere eliminar este modelo?"
"Are you sure that you want to strip all tags?","Está seguro de que quere eliminar todas as etiquetas?"
"Back","Volver"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Confirmation Email Sender","Remitente do correo de confirmación"
"Confirmation Email Template","Modelo de correo de confirmación"
"Convert to Plain Text","Converter a texto plano"
"Create Newsletter Template","Crear un modelo de boletín informativo"
"Customer","Cliente"
"Date Added","Data en que se engadiu"
"Date Updated","Data en que se actualizou"
"Delete","Eliminar"
"Delete Selected Problems","Eliminar os problemas seleccionados"
"Delete Template","Eliminar modelo"
"Do you really want to cancel the queue?","Realmente quere eliminar a lista?"
"Edit Newsletter","Editar boletín informativo"
"Edit Newsletter Template","Editar modelo do boletín informativo"
"Edit Queue","Editar fila"
"Edit Template","Editar modelo"
"Email","Correo electrónico"
"Enter your email address","Introduza o seu enderezo de correo electrónico"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Guest","Convidado"
"Message","Mensaxe"
"Need to Confirm","Necesita confirmación"
"New Newsletter Template","Modelo de novo boletín informativo"
"New Template","Novo modelo"
"Newsletter","Boletín informativo"
"Newsletter Message Preview","Previsualización de mensaxe do boletín informativo"
"Newsletter Problem Reports","Informes de problemas do boletín"
"Newsletter Queue","Lista do boletín informativo"
"Newsletter Section","Sección do boletín informativo"
"Newsletter Subscribers","Subscritores do boletín informativo"
"Newsletter Subscription","Subscrición ao boletín informativo"
"Newsletter Subscriptions","Subscricións ao boletín informativo"
"Newsletter Templates","Modelos de boletín informativo"
"Newsletter subscription confirmation","Confirmación da subscrición ao boletín informativo"
"Newsletter subscription success","Subscrición ao boletín informativo correcta"
"Newsletter unsubscription success","Baixa no boletín informativo correcta"
"No Templates Found","Non se atoparon modelos"
"Not Sent","Non enviado"
"Pause","Pausa"
"Paused","Detido"
"Please enter new template name","Por favor, introduza o nome do novo modelo"
"Please select subscriber(s)","Por favor, seleccione subscritor(es)"
"Preview","Previsualización"
"Preview Template","Previsualización de modelo"
"Processed","Procesado"
"Queue Date Start","Data de inicio da lista"
"Queue Finish","Fin da lista"
"Queue Information","Información da lista"
"Queue Start","Comezo da lista"
"Queue Subject","Asunto da lista"
"Recipients","Destinatarios"
"Reset","Restablecer"
"Resume","Continuar"
"Save As","Gardar como"
"Save Newsletter","Gardar boletín informativo"
"Save Template","Gardar modelo"
"Security","Seguridade"
"Sender","Remitente"
"Sender Email","Correo electrónico do remitente"
"Sender Name","Nome do remitente"
"Sending","Enviando"
"Sent","Enviado"
"Sign up for our newsletter","Subscreva a nossa Newsletter"
"Start","Comezar"
"Status","Estado"
"Store","Tenda"
"Store View","Visualización da tenda"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Subscrever"
"Subscribed","Subscrito"
"Subscriber","Subscritor"
"Subscribers","Subscritores"
"Subscribers From","Subscritores de"
"Subscription Options","Opcións de subscrición"
"Success Email Sender","Remitente de correo correcto"
"Success Email Template","Modelo de correo correcto"
"Template Content","Contido do modelo"
"Template Information","Información do modelo"
"Template Name","Nome do modelo"
"Template Subject","Asunto do modelo"
"Template Type","Tipo de modelo"
"There was a problem with the subscription: %s","Produciuse un problema coa subscrición: %s"
"There was a problem with the un-subscription.","Produciuse un problema coa baixa."
"Type","Tipo"
"Unsubscribe","Darse de baixa"
"Unsubscribe Selected","Seleccionado darse de baixa"
"Unsubscribed","Dado de baixa"
"Unsubscription Email Sender","Remitente do correo da baixa"
"Unsubscription Email Template","Modelo de correo de baixa"
"View Newsletter","Ver boletín informativo"
"Website","Sitio web"
