"Add","Engadir"
"Add New Row","Engadir unha nova fila"
"An error occurred while saving the file(s).","Produciuse un erro mentres se gardaba o(s) ficheiro(s)."
"Availability:","Dispoñibilidade:"
"Back","Volver"
"Canceled","Cancelado"
"Category API","API da categoría"
"Date","Data"
"Default Link Title","Título predeterminado da ligazón"
"Default Maximum Number of Downloads","Número máximo de descargas predeterminado"
"Default Sample Title","Título predeterminado de mostra"
"Delete","Eliminar"
"Downloadable Information","Información descargable"
"Downloadable Product","Produto descargable"
"Downloadable Product Options","Opcións de produto descargable"
"Edit","Editar"
"Excl. Tax","Excl. Imposto"
"File","Ficheiro"
"From:","De:"
"Gift Message","Mensaxe de regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">Os meus produtos descargables</a>"
"In stock","En stock"
"Incl. Tax","Incl. Imposto"
"Invoiced","Facturado"
"Links can be purchased separately","As ligazóns poden adquirirse por separado"
"List","Lista"
"Max. Downloads","Máx. Descargas"
"Message:","Mensaxe:"
"Move","Mover"
"My Downloadable Products","Os meus produtos descargables"
"Open Links in New Window","Abrir as ligazóns nunha nova ventá"
"Order #","Pedido #"
"Ordered","Pedido"
"Out of stock","Esgotado"
"Pending","Pendente"
"Please log in to download your product.","Por favor, inicie sesión para descargar o seu produto."
"Please specify product link(s).","Por favor, especifique a ligazón ou ligazóns ao produto."
"Price","Prezo"
"Qty","Ctde"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove","Eliminar"
"Remove Item","Eliminar o elemento"
"Sample","Mostra"
"Shareable","Compartible"
"Shipped","Enviado"
"Sort Order","Orde de clasificación"
"Start Download","Comezar a descarga"
"Status","Estado"
"Subtotal","Sub-total"
"Title","Título"
"To:","A:"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Default Value","Usar valores predeterminados"
"View Order","Ver pedido"
"You have not purchased any downloadable products yet.","Vostede aínda non comprou ningún produto descargable."
"attachment","anexo"
"download","descarga"
"inline","en liña"
"sample","mostra"
