" and "," e "
"(For US 2-letter state names)","(Para os nomes de estado de dúas letras dos EEUU)"
"(If left empty will be auto-generated)","(Se se deixa baleiro xerarase automaticamente)"
"(Leave empty for first spreadsheet)","(Deixar baleiro para a primeira folla de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Engadiranse/actualizaranse os produtos nesta tenda se a columna 'tenda' está baleira ou falta no ficheiro de importación.)"
"(Shift-)Click or drag to change value","(Maiús-)Prema ou arrastre para cambiar o valor"
"(Starting with)","(Comezando con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cando 'Non', só se importarán os campos mapeados. Cando mapee, use 'columna1', 'columna2' etc.)"
"(You have to increase php memory_limit before changing this value)","(Ten que aumentar o memory_limit de php antes de cambiar o valor)"
"(\t for tab)","(t para separador)"
"* Required Fields","* Campos obrigatorios"
"- Click on any of the time parts to increase it","- Prema nalgunha das partes de tempo para aumentalo"
"- Hold mouse button on any of the above buttons for faster selection.","- Manteña premido o botón do rato sobre algún dos botóns de arriba para unha selección máis rápida."
"- Use the %s buttons to select month","- Utilice os botóns %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice %s, os botóns %s para seleccionar ano"
"- or Shift-click to decrease it","- ou Maiús-clic para diminuílo"
"- or click and drag for faster selection.","- ou prema e arrastre para unha selección máis rápida."
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"--Please Select--","--Por favor, seleccione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"2YTD","2 anos ata hoxe"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Erro</h1><p>Páxina non encontrada.</p>"
"About the calendar","Sobre o calendario"
"Account Created in:","Conta creada en:"
"Account Created on (%s):","Conta creada no (%s):"
"Account Created on:","Conta creada no:"
"Account Information","Información de conta"
"Account status","Estado da conta"
"Action","Acción"
"Actions","Accións"
"Actions XML","Accións XML"
"Active","Activo"
"Add","Engadir"
"Add Exception","Engadir excepción"
"Add Field Mapping","Engadir mapeamento de campo"
"Add Field with URL:","Engadir campo con URL:"
"Add New","Engadir novo"
"Add New Block","Engadir un novo bloque"
"Add New Image","Engadir nova imaxe"
"Add New Profile","Engadir novo perfil"
"Add New Role","Engadir novo rol"
"Add New Template","Engadir modelo novo"
"Add New User","Engadir novo usuario"
"Add Products","Engadir produtos"
"Add after","Engadir despois"
"Address Type:","Tipo de enderezo:"
"Advanced Admin Section","Sección de administración avanzada"
"Advanced Profiles","Perfís avanzados"
"Advanced Section","Sección avanzada"
"All","Todos"
"All Allowed Countries","Todos os países permitidos"
"All Cache","Toda a caché"
"All Files","Todos os ficheiros"
"All Reviews","Todas as valoracións"
"All Store Views","Todas as visualizacións da tenda"
"All Tags","Todas as etiquetas"
"All Websites","Todos os sitios web"
"All countries","Todos os países"
"All fields","Todos os campos"
"Amounts","Cantidades"
"Any","Calquera"
"Any Attribute Set","Calquera grupo de atributos"
"Any Group","Calquera grupo"
"Any Status","Calquera estado"
"Any Store","Calquera tenda"
"Any Type","Calquera tenda"
"Any Visibility","Calquera visibilidade"
"Archive file name:","Nome do ficheiro de arquivo:"
"Are you sure that you want to delete this template?","Está seguro de que quere eliminar este modelo?"
"Are you sure that you want to strip tags?","Está seguro de que quere eliminar as etiquetas?"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Area","Área"
"As low as:","Tan baixo como:"
"Assigned","Asignado"
"Attribute Set Name:","Nome de conxunto de atributos:"
"Attributes","Atributos"
"Average Order Amount","Valor medio de pedido"
"Average Orders","Media de pedidos"
"Back","Volver"
"Back to Login","Volver a inicio de sesión"
"Backup","Copia de seguridade"
"Backups","Copias de seguridade"
"Base currency","Moeda base"
"Bcc","Cco"
"Bestsellers","Máis vendidos"
"Billing Address","Enderezo de facturación"
"Block Information","Información do bloque"
"Both (without and with tax)","Ambos (sen e con imposto)"
"Browse Files...","Buscar ficheiros..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete con prezos dinámicos que non pode incluír as opcións personalizadas definidas. Non se gardarán as opcións."
"CRITICAL","CRÍTICO"
"CSV / Tab separated","Separado CSV / Tabulación"
"Cache Control","Control de caché"
"Cache Control (beta)","Control de caché (beta)"
"Cache Management","Xestión de caché"
"Cancel","Cancelar"
"Card Verification Number","Número de verificación da tarxeta"
"Catalog","Catálogo"
"Catalog Price Rules","Regras de prezo do catálogo"
"Catalog Rewrites","Reescrituras do catálogo"
"Categories","Categorías"
"Category","Categoria"
"Category:","Categoría:"
"Checkbox","Caixa de verificación"
"Choose an attribute","Escoller un atributo"
"Clear","Limpar"
"Close","Pechar"
"Code","Código"
"Complete","Completo"
"Configuration","Configuración"
"Confirm New Password","Confirmar o novo contrasinal"
"Confirmed email:","Correo electrónico confirmado:"
"Connect with the Magento Community","Conectar coa comunidade de Magento"
"Continue","Continuar"
"Convert to Plain Text","Converter a texto plano"
"Country","País"
"Country:","País:"
"Coupons","Cupóns"
"Create","Crear"
"Create DB Backup","Crear copia de seguridade de BD"
"Create New Attribute","Crear un novo atributo"
"Created At","Creado en"
"Credit Card Number","Número de tarxeta de crédito"
"Credit Card Number: xxxx-%s","Número de tarxeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarxeta de crédito"
"Credit Card Type: %s","Tipo de tarxeta de crédito: %s"
"Credit Memo History","Historial da nota de crédito"
"Credit Memo Totals","Totais da nota de crédito"
"Credit Memos","Notas de Crédito"
"Currency","Moeda"
"Currency Information","Información de moeda"
"Currency Setup Section","Sección de configuración de moeda"
"Current Configuration Scope:","Ámbito de configuración actual:"
"Custom","Personalizar"
"Customer","Cliente"
