"* Required Fields","* Campos obrigatorios"
"--Please Select--","--Por favor, seleccione--"
"<label>Make Check payable to:</label> %s","<label>Facer cheque a nome de:</label> %s"
"Card Verification Number","Número de verificación da tarxeta"
"Credit Card Number","Número de tarxeta de crédito"
"Credit Card Number: xxxx-%s","Número de tarxeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarxeta de crédito"
"Credit Card Type: %s","Tipo de tarxeta de crédito: %s"
"Credit Card Types","Tipos de tarxeta de crédito"
"Currency","Moeda"
"Day","Día"
"Enabled","Activado"
"Expiration Date","Data de caducidade"
"Expiration Date: %s/%s","Data de caducidade: %s/%s"
"Issue Number","Número de emisión"
"Make Check payable to: %s","Facer un cheque a nome de: %s"
"Maximum Order Total","Total de pedido máximo"
"Merchant ID","ID do comerciante"
"Minimum Order Total","Total de pedido mínimo"
"Month","Mes"
"N/A","N/D"
"Name on Card","Nome na tarxeta"
"Name on the Card: %s","Nome na tarxeta: %s"
"Password","Contrasinal"
"Payment Method","Método de pagamento"
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Sección de métodos de pagamento"
"Purchase Order Number","Número de pedido de compra"
"Purchase Order Number: %s","Número de pedido de compra: %s"
"Saved CC","Gardado da Tarxeta de Crédito"
"Send Check to","Enviar cheque a"
"Send Check to:","Enviar cheque a:"
"Shipping Amount","Importe de envío"
"Sort Order","Orde de clasificación"
"Start Date","Data de inicio"
"Tax Amount","Valor Imposto"
"Title","Título"
"What is this?","Que é isto?"
"Year","Ano"
"Zero Subtotal Checkout","Confirmación de pedido con subtotal cero"
