"Add Option","Adicionar opção"
"Attempt to add an invalid object","Tentativa de adição de objecto inválido"
"Attribute Code","Código de Atributo"
"Attribute Label","Rótulo do Atributo"
"Attribute Properties","Propriedades do Atributo"
"Attribute with the same code","Atributo co mesmo código"
"Catalog Input Type for Store Owner","Tipo de entrada para Dono da Loja"
"Data integrity: No header row found for attribute","Integridade de dados: Não foi encontrado o cabeçalho para o atributo"
"Date","Data"
"Decimal Number","Número decimal"
"Default Value","Valor predefinido"
"Default option value is not defined","Valor por omissão de opção não definido"
"Delete","Eliminar"
"Dropdown","Lista de selecção"
"Email","Correo electrónico"
"Entity is not initialized","A entidade não foi iniciada"
"Frontend label is not defined","Rótulo da Interface do Utilizador não está definido"
"Input Validation for Store Owner","Validação de entrada para dono da Loja"
"Integer Number","Número Inteiro"
"Invalid attribute name: %s","Nome de atributo inválido: %s"
"Invalid attribute requested: %s","Atributo solicitado non válido: %s"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid character encountered in increment ID: %s","Carácter encontrado non válido no ID de incremento: %s"
"Invalid entity specified","Non é válida a entidade especificada"
"Invalid entity supplied: %s","Entidade inválida fornecida: %s"
"Invalid entity type","Tipo de entidade inválido"
"Invalid entity_type specified: %s","entity-type especificado non válido: %s"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid store specified","Non é válida a tenda especificada"
"Joined field with this alias is already declared","Já existe um campo de ligação com o mesmo sinónimo"
"Letters","Letras"
"Loaded %d records","Cargando %d rexistros"
"Multiple Select","Selección múltiple"
"No","Non"
"No options found in config node %s","Non se encontraron opcións no nodo de configuración %s"
"None","Ningún"
"Not shared with other products","Não está partilhado com outros produtos"
"Problem loading the collection, aborting. Error: %s","Problema cargando a colección, abortando. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a colecção, abortado. Erro: %s"
"Required","Requirido"
"System","Sistema"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não é partilhado com outros produtos)"
"Unknown parameter","Parâmetro desconhecido"
"Values Required","Valores Necessários"
"Wrong attribute group ID","ID de atributo de grupo inválida"
"Wrong attribute set ID","ID de atributo errado"
"Wrong entity ID","ID de entidade errada"
"Yes","Si"
"Yes/No","Sim/Não"
