"-- Please Select --","-- Por favor, seleccione --"
"Add Block Names to Hints","Engadir nomes de bloque aos consellos"
"Add Secret Key to URLs","Engadir a chave secreta aos URLs"
"Add Store Code to Urls","Engadir o código da tenda aos URLs"
"Admin Base URL","URL base de administración"
"Admin User Emails","Enderezos de correo electrónico do usuario administrador"
"Advanced","Avanzado"
"Allowed IPs (comma separated)","IPs permitidos (separados por comas)"
"Are you sure?","Está vostede seguro?"
"Back","Volver"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL base da ligazón"
"Base Media URL","URL base dos elementos multimedia"
"Base Skin URL","URL base do tema"
"Base URL","URL base"
"Block with name ""%s"" already exists","O bloque co nome ""%s"" xa existe"
"Can't retrieve request object","Non se pode recuperar o obxecto solicitado"
"Can't retrieve entity config: %s","Não foi possível obter a entidade de configuração: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Non se pode completar esta operación desde unha área que non sexa de administración."
"Code","Código"
"Controller file was loaded but class does not exist","Cargouse o ficheiro do controlador pero non existe a clase"
"Cookie Domain","Dominio da cookie"
"Cookie Lifetime","Tempo de vida da cookie"
"Cookie Path","Ruta da cookie"
"Country","País"
"Create Store","Crear tenda"
"Create Store View","Crear visualización da tenda"
"Create Website","Crear sitio web"
"Custom Design","Deseño personalizado"
"Dashboard","Panel"
"Date From","Desde a data"
"Date To","Ata hoxe"
"Date/time format ""%s"" is not supported.","Non se admite o formato de data/hora ""%s""."
"Debug","Depuración"
"Default","Predeterminado"
"Default Country","País predeterminado"
"Default Description","Descrición predeterminada"
"Default Keywords","Palabras chave predeterminadas"
"Default Pages","Páxinas predeterminadas"
"Default Robots","Tratamento de Robots predeterminados"
"Default Store","Tenda predeterminada"
"Default Store View","Visualización de tenda predeterminada"
"Default Title","Título predeterminado"
"Delete","Eliminar"
"Delete Store","Borrar tenda"
"Delete Store View","Eliminar visualización da tenda"
"Delete Website","Eliminar sitio web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Borrar un %1$s non eliminará a información asociada co %1$s (ex. categorías, produtos etc.), pero non se poderá restaurar %1$s. Suxírese que cree unha copia de seguridade da base de datos antes de borrar %1$s."
"Design","Deseño"
"Design Change","Cambio de deseño"
"Developer","Desenvolvedor/a"
"Developer Client Restrictions","Desenvolver restricións do cliente"
"Edit Design Change","Editar cambio do deseño"
"Edit Store","Editar tenda"
"Edit Store View","Editar visualización da tenda"
"Edit Website","Editar sitio web"
"Empty identifier field name","Baleirar o nome do identificador do campo"
"Empty main table name","Baleirar o nome da táboa principal"
"Enabled","Activado"
"Enabled for Admin","Activado para administración"
"Enabled for Frontend","Activado para frontend"
"Error in file: ""%s"" - %s","Houbo un erro no ficheiro: ""%s"" - %s"
"Exceptions Log File Name","Nome do ficheiro de rexistro de excepcións"
"First Day of Week","Primeiro día da semana"
"Footer","Pé de páxina"
"Forgot Password Email Sender","Remitente do correo electrónico de contrasinal esquecido"
"Forgot Password Email Template","Modelo do correo electrónico de contrasinal esquecido"
"General","Xeral"
"General Settings","Opcións xerais"
"HTML Head","Cabeceira HTML"
"Header","Cabeceira"
"Host","Servidor"
"Invalid base url type","O tipo de URL base non é válido"
"Invalid block type: %s","O tipo de bloque: %s non é válido"
"Invalid block: %s","Bloco inválido: %s"
"Invalid layout update handle","Xestor de actualización da disposición non válido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensaxe de almacenamento non válida ""%s"" para a inicialización de mensaxes da disposición"
"Layout","Disposición"
"Locale","Localización"
"Log Settings","Configuracións do rexistro"
"Logo Image Alt","Alternativa á imaxe do logotipo"
"Logo Image Src","Fonte da imaxe do logotipo"
"Manage Stores","Xestionar tendas"
"Match expressions in the same order as displayed in the configuration.","Emparellar expresións na mesma orde en que se amosan na configuración."
"Miscellaneous HTML","HTML diverso"
"Name","Nome"
"New Design Change","Novo cambio de deseño"
"New Store","Nova tenda"
"New Store View","Nova visualización da tenda"
"New Website","Novo sitio web"
"No","Non"
"Package","Paquete"
"Please define flag code.","Defina o código de marca."
"Please enter a number greater than 0 in this field.","Introduza un número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Introduza unha cantidade válida. Por exemplo 100.00€."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Introduza un URL válido. Por exemplo, http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid credit card number.","Introduza un número válido de tarxeta de crédito."
"Please enter a valid date.","Introduza unha data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Introduza un enderezo válido de correo electrónico. Por exemplo, nome@dominio.com."
"Please enter a valid number in this field.","Introduza un número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduza un número de teléfono válido. Por exemplo, 999 999 999 ou 999-999-999."
"Please enter a valid social security number. For example 123-45-6789.","Introduza un número da seguridade social válido. Por exemplo, 12-3456789123."
"Please enter a valid zip code.","Por favor, introduza un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduza un código postal válido. Por exemplo, 12345."
"Please make sure your passwords match.","Asegúrese de que os seus contrasinais coinciden."
"Please select State/Province.","Escolla a provincia/estado."
"Please select an option.","Seleccione unha opción."
"Please select one of the above options.","Escolla unha das opcións de arriba."
"Please select one of the options.","Seleccione unha das opcións."
"Please use letters only (a-z or A-Z) in this field.","Use só letras (a-z ou A-Z) neste campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Use só letras (a-z) ou números (0-9) ou subliñado (_) neste campo. O primeiro caracter debe ser unha letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Use este formato de data: dd/mm/yyyy. Por exemplo, 17/05/1968 para o 17 de maio do ano 1968."
"Please wait, loading...","Por favor, espere, cargando..."
"Polls","Enquisas"
"Port (25)","Porto (25)"
"Profiler","Analizador"
"Requested invalid store ""%s""","Solicitouse unha tenda non válida ""%s"""
"Root Category","Categoría raíz"
"Save","Gardar"
"Save Store","Gardar tenda"
"Save Store View","Gardar visualización da tenda"
"Save Website","Gardar sitio web"
"Search Engines Optimization","Optimización para motores de busca (SEO)"
"Secure","Seguro"
"Security","Seguridade"
"Select Date","Seleccionar data"
"Sender Email","Correo electrónico do remitente"
"Sender Name","Nome do remitente"
"Services","Servizos"
"Session Validation Settings","Parámetros de validación da sesión"
"Skin (Images / CSS)","Tema (Imaxes / CSS)"
"Sort Order","Orde de clasificación"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","A data/hora especificada ""%1$s"" non coincide co formato ""%2$s""."
"Status","Estado"
"Store","Tenda"
"Store Email Addresses","Gardar enderezo de correo electrónico"
"Store Information","Gardar información"
"Store Name","Nome da tenda"
"Store View","Visualización da tenda"
"Store View Information","Información da visualización da tenda"
"Store View Name","Nome da visualización da tenda"
"Store view doesn't exist","A visualización da tenda non existe"
"Store with the same code","Tenda co mesmo código"
"System","Sistema"
"System Log File Name","Nome do ficheiro de rexistro do sistema"
"Template Path Hints","Suxestións de ruta para o modelo"
"Templates","Modelos"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que introduciu non é correcto. Asegúrese de que segue o formato ""http://dominio.com/""."
"Themes","Temas"
"This category and all its child elements","Esta categoría e todos os seus elementos fillo"
"This category and its child categories only","Só esta categoría e as súas categorías fillas"
"This category and its products only","Só esta categoría e os seus produtos"
"This category only","Só esta categoría"
"This is a required field.","Este é un campo obrigatorio."
"This store cannot be deleted.","Non se pode eliminar esta tenda."
"This store view cannot be deleted.","Non se pode eliminar a visualización desta tenda."
"This website cannot be deleted.","Non se pode eliminar este sitio web."
"Timezone","Fuso horario"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Transactional Emails","Correos electrónicos transaccionais"
"Translate Inline","Tradución en liña"
"Translations","Traducións"
"Unable to delete store view. Please, try again later.","Non se puido borrar a visualización da tenda. Ténteo de novo máis tarde."
"Unable to delete store. Please, try again later.","Non se puido borrar a tenda. Ténteo de novo máis tarde."
"Unable to delete website. Please, try again later.","Non se puido borrar a web. Ténteo de novo máis tarde."
"Unsecure","Inseguro"
"Url Options","Opcións do URL"
"Use HTTP Only","Usar só HTTP"
"None","Ningún"
"Use Secure URLs in Admin","Usar URLs seguros na administración"
"Use Secure URLs in Frontend","Usar URLs seguros no Frontend"
"Use Web Server Rewrites","Usar Rewrites do servidor web"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Website","Sitio web"
"Website Information","Información do sitio web"
"Website Name","Nome do sitio web"
"Website with the same code","Sitio web co mesmo código"
"Weekend Days","Días de fin de semana"
"Welcome Text","Texto de benvida"
"Wrong number of arguments for %s","Número de argumentos incorrecto para %s"
"Yes","Si"
