"Action","Acción"
"Add Sitemap","Engadir mapa do sitio"
"Always","Sempre"
"CMS Pages Options","Opcións de páxinas CMS"
"Categories Options","Opcións de categorías"
"Daily","Diariamente"
"Edit Sitemap","Editar mapa do sitio"
"Enabled","Activado"
"Error Email Recipient","Destinatario do correo de erro"
"Error Email Sender","Remitente do correo de erro"
"Error Email Template","Modelo de correo de erro"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","O ficheiro ""%s"" non pode gardarse. Por favor, asegúrese de que o directorio ""%s"" ten permisos de escritura do servidor web."
"Filename","Nome de ficheiro"
"Frequency","Frecuencia"
"Generate","Xerar"
"Generation Settings","Configuracións de xeración"
"Google Sitemap","Mapa do sitio Google"
"Hourly","Cada hora"
"Last Time Generated","Última vez que se xerou"
"Link for Google","Ligazón para o Google"
"Monthly","Mensualmente"
"Never","Nunca"
"New Sitemap","Novo mapa do sitio"
"Path","Ruta"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, cree o cartafol especificado ""%s"" antes de gardar omapa do sitio."
"Please define correct path","Por favor, defina a ruta correcta"
"Please make sure that ""%s"" is writable by web-server.","Está seguro de que este ""%s"" ten permisos de escritura do servidorweb."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, use só letras (a-z ou A-Z), números (0-9) ou guión baixo (_) no nome do ficheiro. Non se permiten os espazos en branco ououtros caracteres."
"Priority","Prioridade"
"Products Options","Opcións de produtos"
"Sitemap","Mapa do sitio"
"Sitemap generate Warnings","O mapa do sitio xera avisos"
"Start Time","Hora de inicio"
"Store View","Visualización da tenda"
"Weekly","Semanalmente"
"Yearly","Anualmente"
