"Authorize Only","Autorizar só"
"Authorize and Capture","Autorizar e capturar"
"Continue Shopping","Continuar comprando"
"Debug","Depuración"
"Email Sender","Remitente de Correo electrónico"
"Enable","Activar"
"Merchant ID","ID do comerciante"
"Merchant Login","Início Sessão Comerciante"
"Payment Action","Acción de pagamento"
"Sandbox","Local de Testes"
"Thank you for your purchase!","Grazas pola súa compra!"
"Title","Título"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá unha confirmación de pedido cos detalles correspondentes e unha ligazón para rastrexar o proceso."
