"API Password","Contrasinal da API"
"API Signature","Sinatura da API"
"Address","Enderezo"
"Authorization","Autorización"
"Billing Information","Información de facturación"
"City","Cidade"
"Close","Pechar"
"Company","Empresa"
"Continue","Continuar"
"Country","País"
"Custom","Personalizar"
"Daily","Diariamente"
"Discount","Desconto"
"Dynamic","Dinámico"
"Edit","Editar"
"Edit Shopping Cart","Editar carriño da compra"
"Email Address","Enderezo de correo electrónico"
"Enabled","Activado"
"Items in Your Shopping Cart","Elementos no seu carriño de compra"
"Learn More","Aprender máis"
"Login","Iniciar sesión"
"N/A","N/D"
"Never","Nunca"
"No","Non"
"Order","Pedido"
"Page Style","Estilo de páxina"
"Partner","Parceiro"
"Password","Contrasinal"
"Payment Action","Acción de pagamento"
"Payment Method","Método de pagamento"
"Place Order","Facer pedido"
"Please select a shipping method...","Por favor, seleccione un método de envío..."
"Please select region, state or province","Escolla unha provincia, rexión ou estado"
"Position","Posición"
"Price","Prezo"
"Product","Produto"
"Product Name","Nome do produto"
"Qty","Ctde"
"Reports","Informes"
"Review Order","Revisar pedido"
"Sale","Venda"
"Sales","Vendas"
"Shipping","Envío"
"Shipping Address","Enderezo de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Size","Tamaño"
"Sorry, no quotes are available for this order at this time.","Sentímolo, non hai ofertas dispoñibles para este pedido neste momento."
"Sort Order","Orde de clasificación"
"State/Province","Provincia/Estado"
"Static","Estático"
"Street Address","Rúa"
"Submitting order information...","Entregando información do pedido..."
"Subtotal","Sub-total"
"Telephone","Teléfono"
"There was an error processing your order. Please contact us or try again later.","Houbo un erro procesando o seu pedido. Contacte con nós ou ténteo de novo máis tarde."
"Title","Título"
"Update Shipping Method","Actualizar método de envío"
"User","Usuario"
"View","Ver"
"Void","Anular"
"Yes","Si"
"Zip/Postal Code","Código postal"
