"%s Item(s)","%s elemento(s)"
"(Shift-)Click or drag to change value","(Maiús-)Prema ou arrastre para cambiar o valor"
"(ver. %s)","(versão %s)"
"- Click on any of the time parts to increase it","- Prema nalgunha das partes de tempo para aumentalo"
"- Hold mouse button on any of the above buttons for faster selection.","- Manteña premido o botón do rato sobre algún dos botóns de arriba para unha selección máis rápida."
"- Use the %s buttons to select month","- Utilice os botóns %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice %s, os botóns %s para seleccionar ano"
"- or Shift-click to decrease it","- ou Maiús-clic para diminuílo"
"- or click and drag for faster selection.","- ou prema e arrastre para unha selección máis rápida."
"-- Please Select --","-- Por favor, seleccione --"
"About the calendar","Sobre o calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Prema <a href=""%s"">aquí</a> se non ocorreu nada"
"Close","Pechar"
"Close Window","Pechar ventá"
"DHTML Date/Time Selector","Selector de Data/Tempo DHTML"
"Date selection:","Selección de data:"
"Default Description","Descrición predeterminada"
"Default welcome msg!","Mensaxe de benvida predeterminada!"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído baixo a licenza GNU LGPL. Vexa os detalles en %s."
"Drag to move","Arrastrar para mover"
"Empty","Baleiro"
"For latest version visit: %s","Para a última versión visitada: %s"
"Go Today","Ir para Hoxe"
"Help Us to Keep Magento Healthy","Axúdenos a manter a calidade do OpenMage"
"Interface Language","Lingua da interface"
"Items %s to %s of %s total","Elementos %s a %s dun total de %s"
"Next","Seguinte"
"Next month (hold for menu)","Próximo mes (despregar menú)"
"Next year (hold for menu)","Próximo ano (despregar menú)"
"Page:","Pagina:"
"Prev. month (hold for menu)","Mes anterior (despregar menú)"
"Prev. year (hold for menu)","Ano anterior (despregar menú)"
"Previous","Anterior"
"Redirecting...","Redireccionando..."
"Report All Bugs","Informar de todos os erros"
"Search","Busca"
"Select Store","Seleccionar tenda"
"Select date","Seleccionar data"
"Show","Amosar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Isto é unha tenda de demostración. Calquera pedido feito nesta tenda non será procesado nin atendido."
"Time selection:","Selección de hora:"
"Time:","Hora:"
"View All","Ver todo"
"Welcome, %s!","Benvido, %s!"
"Your Language","A súa lingua"
"Your Language:","A súa lingua:"
"per page","por páxina"
