"Actions","Accións"
"Active","Activo"
"Add New Rule","Engadir unha nova regra"
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra só se se cumprisen as seguintes condicións (deixar en branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra só aos elementos do carriño que cumpran as seguintes condicións (deixar en branco para todos os elementos)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos elementos que cumpran as seguintes condicións"
"Buy X get Y free (discount amount is Y)","Compre X e consiga gratis Y (a cantidade de desconto é Y)"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentaxe"
"Cart Attribute","Atributo do carriño"
"Catalog","Catálogo"
"Conditions","Condicións"
"Conditions combination","Combinación de condicións"
"Coupon Code","Código Cupão"
"Created On","Creado en"
"Customer Groups","Grupos de clientes"
"Date Expire","Data de vencemento"
"Date Start","Data de inicio"
"Description","Descrición"
"Discount Amount","Valor Desconto"
"Discount Qty Step (Buy X)","Paso de cantidade de desconto (Comprar X)"
"Edit Rule","Editar a regra"
"Edit Rule '%s'","Editar a regra '%s'"
"Fixed amount discount","Valor de desconto fixo"
"Fixed amount discount for whole cart","Valor do desconto fixo para todo o carriño"
"For matching items only","Só para os elementos que coinciden"
"For shipment with matching items","Para envíos con elementos coincidentes"
"Free Shipping","Envío gratuíto"
"From Date","Desde a data"
"General Information","Información xeral"
"Generate","Xerar"
"Inactive","Inactivo"
"NOT LOGGED IN","NON INICIOU SESIÓN"
"New Rule","Nova regra"
"No","Non"
"Number of Uses","Número de usos"
"Payment Method","Método de pagamento"
"Percent of product price discount","Porcentaxe de desconto no prezo do produto"
"Period","Período"
"Price in cart","Prezo no carriño"
"Priority","Prioridade"
"Product attribute combination","Combinación de atributo de produto"
"Products subselection","Subselección de produtos"
"Promotions","Promocións"
"Public In RSS Feed","Público en Feed RSS"
"Quantity in cart","Cantidade no carriño"
"Row total in cart","Fila total no carriño"
"Rule Information","Información da regra"
"Rule Name","Nome da regra"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal de envío"
"Shipping Region","Rexión de envío"
"Shipping State/Province","Estado/Provincia de envío"
"Shopping Cart Price Rule","Regra de prezos no carriño de compras"
"Shopping Cart Price Rules","Regras de prezos no carriño de compras"
"Status","Estado"
"Subtotal","Sub-total"
"Subtotal Amount","Montante Sub-total"
"To Date","ata hoxe"
"To Fixed Value","A valor fixo"
"To Percentage","A porcentaxe"
"Total Amount","Montante Total"
"Total Items Quantity","Cantidade total de elementos"
"Total Weight","Peso total"
"Update prices using the following information","Actualizar os prezos usando a seguinte información"
"Update product's %s %s: %s","Actualizar %s do produto %s: %s"
"Update the Product","Actualizar o produto"
"Website","Sitio web"
"Yes","Si"
