"# of Uses","# de Usos"
"Action","Acción"
"Add","Engadir"
"Add New Tag","Engadir nova etiqueta"
"Add Tags","Engadir etiquetas"
"Add Your Tags:","Engadir as súas etiquetas:"
"Add to Cart","Engadir ao carriño"
"Add to Wishlist","Engadir á lista de desexos"
"All Tags","Todas as etiquetas"
"Approved","Aprobado"
"Are you sure you want to delete this tag?","Está seguro de que quere eliminar esta etiqueta?"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Are you sure?","Está vostede seguro?"
"Back","Volver"
"Back to Tags List","Volver á lista de etiquetas"
"Block Information","Información do bloque"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Prema na etiqueta para ver o produto correspondente."
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Etiquetas dos clientes '%s'"
"Delete","Eliminar"
"Delete Tag","Eliminar etiqueta"
"Disabled","Desactivado"
"Edit Tag '%s'","Editar etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nome"
"General Information","Información xeral"
"Grid","Grade"
"Last Name","Apelido"
"List","Lista"
"My Recent Tags","As miñas etiquetas recentes"
"My Tags","As minhas Etiquetas"
"Name","Nome"
"New Tag","Nova etiqueta"
"No matches found.","Non se encontraron coincidencias."
"Other people marked this product with these tags:","Outras persoas marcaron este produto con estas etiquetas:"
"Pending","Pendente"
"Pending Tags","Etiquetas pendentes"
"Popular Tags","Etiquetas populares"
"Price","Prezo"
"Product Name","Nome do produto"
"Product SKU","Sku do produto"
"Product Tags","Etiquetas do produto"
"Products","Produtos"
"Products Tagged with '%s'","Produtos etiquetados con '%s'"
"Products tagged with '%s'","Produtos etiquetados con '%s'"
"Remove","Eliminar"
"Save Tag","Gardar etiqueta"
"Status","Estado"
"Store View","Visualización da tenda"
"Tag","Etiqueta"
"Tag Name","Nome de etiqueta"
"Tags","Etiquetas"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Unable to find any products tagged with '%s' in the current store","Non foi posible encontrar ningún produto etiquetado con '%s' na tenda actual"
"Unable to remove tag. Please, try again later.","Non se puido eliminar a etiqueta. Por favor, inténteo máis tarde."
"Update","Actualizar"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilice espazos para separar etiquetas. Utilice comiñas simples (') para as frases."
"View All Tags","Ver todas as etiquetas"
"View Customers","Ver os clientes"
"View Products","Ver os produtos"
"You have not tagged any products yet.","Aínda non etiquetou ningún produto."
"ZIP/Post Code","ZIP/Código Postal"
