"* Required Fields","* Campos obrigatorios"
"Close","Pechar"
"Created At","Creado en"
"Customer","Cliente"
"Delete","Eliminar"
"Disable","Desactivar"
"Disabled","Desactivado"
"Edit","Editar"
"Email","Correo electrónico"
"Email Address","Enderezo de correo electrónico"
"Enable","Activar"
"Enabled","Activado"
"Log In","Iniciar a sesión"
"Login","Iniciar sesión"
"Name","Nome"
"Password","Contrasinal"
"Permissions","Permisos"
"Role Name","Nome do rol"
"Save","Gardar"
"Status","Estado"
"System","Sistema"
"User ID","ID de usuario"
"User Name","Nome de usuario"
