"-- Please Select --","-- Por favor, seleccione --"
"Add New Class","Engadir unha nova clase"
"Add New Tax Rate","Engadir unha nova taxa de imposto"
"Add New Tax Rule","Engadir unha nova regra de imposto"
"Apply Tax On","Aplicar imposto sobre"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Back","Volver"
"Class Name","Nome da clase"
"Code","Código"
"Country","País"
"Custom price if available","Prezo personalizado se está dispoñible"
"Customer Tax Class Information","Información da clase de imposto do cliente"
"Customer Tax Classes","Clases de imposto do cliente"
"Default Country","País predeterminado"
"Default Post Code","Código postal predeterminado"
"Default State","Estado predeterminado"
"Delete Class","Eliminar clase"
"Delete Rate","Eliminar taxa"
"Delete Rule","Eliminar regra"
"Display Shipping Prices","Mostrar os prezos do envío"
"Display Zero Tax Subtotal","Mostrar o subtotal sen imposto"
"Edit Class","Editar clase"
"Edit Class '%s'","Editar a clase '%s'"
"Edit Rule","Editar a regra"
"Edit Tax Rate","Editar taxa de imposto"
"Excl. Tax","Excl. Imposto"
"Excl. Tax:","Excl. Imposto:"
"Export Tax Rates","Exportar taxas de imposto"
"Import / Export Tax Rates","Importar / Exportar taxas de imposto"
"Import Tax Rates","Importar taxas de imposto"
"Inc. Tax","Inc. Imposto"
"Incl. Tax","Incl. Imposto"
"Incl. Tax:","Incl. Imposto:"
"Invalid file format upload attempt","Tentativa de cargar formato de ficheiro non válido"
"Invalid file upload attempt","Tentativa de cargar ficheiro non válida"
"Manage Customer Tax Classes","Xestionar clases de imposto de cliente"
"Manage Product Tax Classes","Xestionar clases de imposto de produto"
"Manage Tax Rates","Xestionar taxas de imposto"
"Manage Tax Rules","Xestionar regras de imposto"
"Manage Tax Zones & Rates","Xestionar zonas de impostos e taxas"
"Name","Nome"
"New Class","Nova clase"
"New Rule","Nova regra"
"New Tax Rate","Nova taxa de imposto"
"No","Non"
"None","Ningún"
"One of the country has invalid code.","Un dos países ten un código non válido."
"Original price only","Só prezo orixinal"
"Priority","Prioridade"
"Product Tax Class Information","Información da clase de imposto do produto"
"Product Tax Classes","Clases de imposto do produto"
"Reset","Restablecer"
"Row Total","Total de fila"
"Sales","Vendas"
"Save Class","Gardar clase"
"Save Rate","Gardar taxa"
"Save Rule","Gardar a regra"
"Sort Order","Orde de clasificación"
"State","Estado"
"State/Region","Estado/Rexión"
"Tax","Impostos"
"Tax Class for Shipping","Clase de imposto por envío"
"Tax Classes","Clases de imposto"
"Tax Identifier","Identificador de imposto"
"Tax Rate","Taxa de imposto"
"Tax Rate Information","Información da taxa de imposto"
"Tax Rule Information","Información da regra de imposto"
"Tax Rules","Regras de imposto"
"Tax Section","Sección de imposto"
"Tax Titles","Títulos de imposto"
"Tax rates at the same priority are added, others are compounded.","As taxas de imposto coa mesma prioridade engádense, outras grávanse."
"This class no longer exists","Esta clase xa non existe"
"This rule no longer exists","Esta regra já não existe"
"Unit Price","Prezo por unidade"
"Yes","Si"
"You cannot delete this tax class as it is used for %d customer groups.","Non pode eliminar esta clase de imposto cando se utiliza para %d grupos de cliente."
"You cannot delete this tax class as it is used for %d products.","Non se pode eliminar esta clase de imposto cando se utiliza para %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Non se pode eliminar esta clase de imposto cando se utiliza en Regras de Impostos. Ten que eliminar estas regras que utiliza nun principio."
"Zip/Post Code","Código postal"
