"* Required Fields","* Obavezna polja"
"Address","Adresa"
"Address Information","Podaci o adresi"
"Already registered?","Već ste registrirani?"
"Back","Natrag"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Kreiranjem profila na našem webshopu moći ćete kupovati brže i jednostavnije, spremati podatke o adresama isporuke, pregledavati i pratiti vaše narudžbe i još puno toga."
"Checkout as Guest","Naplata kao Gost"
"Checkout as a Guest or Register","Izvršite plaćanje kao Gost ili se registrirajte"
"City","Grad"
"Close","Zatvori"
"Company","Poduzeće"
"Confirm Password","Potvrdi lozinku"
"Continue","Nastavi"
"Country","Država"
"Create an Account","Kreirajte korisnički račun"
"Easy access to your order history and status","Brzi pristup vašoj arhivi narudžbi i statusu"
"Email Address","Adresa elektroničke pošte"
"Fast and easy check out","Brza i jednostavna naplata"
"Fax","Faks"
"Forgot Your Password?","Zaboravili ste lozinku?"
"Forgot your password?","Zaboravili ste lozinku?"
"General Options","Glavni izbornik"
"If you have an account with us, please log in.","Ako kod nas imate korisnički račun, molim ulogirajte se."
"Loading next step...","Učitavam slijedeći korak..."
"Login","Prijava"
"Login Information","Podaci za logiranje"
"Login or Create an Account","Logirajte se ili kreirajte korisnički račun"
"New Customers","Novi kupci"
"Password","Lozinka"
"Personal Information","Osobni podaci"
"Please log in below:","Molim, prijavite se ispod:"
"Please select region, state or province","Molimo odaberite regiju ili županiju"
"Register","Registrirajte se"
"Register and save time!","Registrirajte se u uštedite vrijeme!"
"Register to Create an Account","Registrirajte se da bi ste kreirali vaš korisnički račun"
"Register with us for future convenience:","Registrirajte se kod nas za buduće pogodnosti:"
"Registered Customers","Registrirani korisnici"
"Save in address book","Spremite u imenik"
"Select State/Province...","Odaberite županiju/regiju"
"Select a billing address from your address book or enter a new address.","Odaberite adresu naplate iz vašeg imenika ili unesite novu adresu."
"Ship to different address","Dostaviti na drugu adresu"
"Ship to this address","Dostaviti na ovu adresu"
"Sign Up for Newsletter","Ulogirajte se za newsletter"
"State/Province","Regija/pokrajina"
"Street Address","Adresa"
"Submit","Potvrdi"
"Telephone","Telefon"
"Welcome, %s!","Dobrodošli, %s!"
"What's this?","Što je ovo?"
"Zip/Postal Code","Poštanski broj"
