"* Required Fields","* Obavezna polja"
"Comment","Poruka"
"Contact Form","Obrazac za kontakt"
"Contact Information","Informacije "
"Contact Us","Kontaktirajte nas"
"Contacts","Kontakti"
"Email","email"
"Email Options","Email opcije"
"Email Sender","Email pošiljatelj"
"Email Template","Email predložak"
"Enable Contact Us","Omogući Obratite nam se"
"Name","Naziv"
"Send Emails To","Pošalji email"
"Submit","Potvrdi"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Trenutno ne možete podnijeti zahtjev. Molimo pokušajte ponovo kasnije"
