"--Please Select--","--Molimo vas odaberite---"
"Card Verification Number","Kontrolni broj"
"Close","Zatvori"
"Credit Card Number","Broj kreditne kartice"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Types","Vrste kreditnih kartica"
"Credit Card Verification","Verifikacija kreditne kartice"
"Enabled","Omogućeno"
"Expiration Date","Datum isteka"
"Order saving error: %s","Greška kod snimanja narudžbe: %s"
"Payment Action","Payment akcija"
"Payment authorization error.","Greška pri autorizaciji plaćanja."
"Sort Order","Redosljed sortiranja"
"Title","Naslov"
"What is this?","Što je ovo?"
