"%d Review(s)","%d Recenzija"
"%s Review(s)","%s Recenzija"
"(Posted on %s)","(Poslano %s)"
"1 star","       * (1)"
"2 stars","      * * (2)"
"3 stars","     * * * (3)"
"4 stars","    * * * * (4)"
"5 stars","   * * * * * (5)"
"Add New Review","Dodaj novu recenziju"
"Add Your Review","Dodajte vašu recenziju"
"All Reviews","Sve recenzije"
"Approved","Odobreno"
"Are you sure you want to do this?","Jeste li sigurni da želite ovo?"
"Are you sure?","Jeste li sigurni?"
"Average Customer Rating","Prosječna ocjena"
"Average Customer Rating:","Prosječna ocjena:"
"Back","Natrag"
"Back to My Reviews","Natrag na Moje recenzije"
"Back to Product Reviews","Natrag na Recenzije proizvoda"
"Be the first to review this product","Prvi recenzirajte ovaj proizvod"
"Created On","Kreirano"
"Customer","Kupac"
"Customer Reviews","Recenzije kupaca"
"Customers Reviews","Recenzije kupaca"
"Delete","Obriši"
"Delete Review","Obriši recenziju"
"Detailed Rating","Obriši ocjenjivanje"
"Edit Review '%s'","Ažuriraj recenziju '%s'"
"Guest","Gost"
"How do you rate this product?","Kako ocjenjujete ovaj proizvod?"
"Manage Ratings","Upravljaj ocjenjivanjem"
"My Product Reviews","Moje recenzije proizvoda"
"My Recent Reviews","Moje nedavne recenzije"
"Name","Naziv"
"New Review","Nova recenzija"
"Nickname","Nadimak"
"Pending","U tijeku:"
"Pending Reviews","Recenzije u tijeku"
"Please select a product","Molimo odaberite proizvod"
"Please select one of each of the ratings above","Molimo odaberite jednu od ocjena"
"Price","Cijena"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Product Rating","Ocjena proizvoda"
"Product Rating:","Ocjena proizvoda:"
"Product Reviews","Recenzije proizvoda"
"Product SKU","Proizvod SKU"
"Products Reviews","Recenzije proizvoda"
"Qty","Kol"
"Rating:","Ocjena:"
"Review","Recenzija"
"Review Details","Detalji recenzije"
"Review by %s","Recenzirao %s"
"Reviews","Recenzije"
"Save Review","Spremi recenziju"
"Submit Review","Pošalji recenziju"
"Summary Rating","Ukupna ocjena"
"Summary of Review","Sažetak recenzije"
"Summary of Your Review","Sažetak vše recenzije"
"Title","Naslov"
"Type","Tip"
"View All Reviews","Prikaži sve recenzije"
"View Details","Prikaži detalje"
"Write Your Own Review","Napišite vlastitu recenziju"
"You have submitted no reviews.","Niste poslali nijednu recenziju"
"Your Rating:","Vaša ocjena:"
"Your Review (submitted on %s):","Vaša recenzija (poslana %s):"
